TITLE = "2 species of PNP-Steric with high order term" 
VARIABLES = "X" "Conc1" "Conc2" "phi" "Current_x""I_ext" "I_PNP" "CURRENT" "ENERGY" "
ZONE T="3.0491e-05", I=11
-1 2.274204e+00 2.274066e+00 -1.000000e-04 4.796163e-14 0 4.796163e-14 2.907934e-15 1.318335e+01 
-9.340014e-01 3 3 -1.000000e-04 8.992806e-15 0 8.992806e-15 2.907934e-15 1.318335e+01 
-7.844835e-01 3 3 -1.000000e-04 -6.994405e-15 0 -6.994405e-15 2.907934e-15 1.318335e+01 
-5.652353e-01 3 3 -1.000000e-04 6.661338e-16 0 6.661338e-16 2.907934e-15 1.318335e+01 
-2.957581e-01 3 3 -1.000000e-04 -3.663736e-15 0 -3.663736e-15 2.907934e-15 1.318335e+01 
0 3 3 -1.000000e-04 -1.332268e-15 0 -1.332268e-15 2.907934e-15 1.318335e+01 
2.957581e-01 3 3 -1.000000e-04 9.992007e-15 0 9.992007e-15 2.907934e-15 1.318335e+01 
5.652353e-01 3 3 -1.000000e-04 -5.329071e-15 0 -5.329071e-15 2.907934e-15 1.318335e+01 
7.844835e-01 3 3 -1.000000e-04 1.332268e-14 0 1.332268e-14 2.907934e-15 1.318335e+01 
9.340014e-01 3 3 -1.000000e-04 -1.065814e-14 0 -1.065814e-14 2.907934e-15 1.318335e+01 
1 2.274204e+00 2.274066e+00 -1.000000e-04 4.263256e-14 0 4.263256e-14 2.907934e-15 1.318335e+01 
ZONE T="6.0981e-05", I=11
-1 1.788008e+00 1.787862e+00 -4.969038e-05 5.601476e-03 0 5.601476e-03 -4.537657e-15 1.307954e+01 
-9.340014e-01 2.996352e+00 2.996351e+00 -4.969038e-05 2.175675e-03 0 2.175675e-03 -4.537657e-15 1.307954e+01 
-7.844835e-01 3.000067e+00 3.000067e+00 -4.969038e-05 -4.641305e-04 0 -4.641305e-04 -4.537657e-15 1.307954e+01 
-5.652353e-01 3.000058e+00 3.000058e+00 -4.969038e-05 1.641704e-04 0 1.641704e-04 -4.537657e-15 1.307954e+01 
-2.957581e-01 2.999939e+00 2.999939e+00 -4.969038e-05 -5.956743e-05 0 -5.956743e-05 -4.537657e-15 1.307954e+01 
0 3.000060e+00 3.000060e+00 -4.969038e-05 -3.663736e-15 0 -3.663736e-15 -4.537657e-15 1.307954e+01 
2.957581e-01 2.999939e+00 2.999939e+00 -4.969038e-05 5.956743e-05 0 5.956743e-05 -4.537657e-15 1.307954e+01 
5.652353e-01 3.000058e+00 3.000058e+00 -4.969038e-05 -1.641704e-04 0 -1.641704e-04 -4.537657e-15 1.307954e+01 
7.844835e-01 3.000067e+00 3.000067e+00 -4.969038e-05 4.641305e-04 0 4.641305e-04 -4.537657e-15 1.307954e+01 
9.340014e-01 2.996352e+00 2.996351e+00 -4.969038e-05 -2.175675e-03 0 -2.175675e-03 -4.537657e-15 1.307954e+01 
1 1.788008e+00 1.787862e+00 -4.969038e-05 -5.601476e-03 0 -5.601476e-03 -4.537657e-15 1.307954e+01 
ZONE T="9.1472e-05", I=11
-1 1.451890e+00 1.451748e+00 -4.708914e-05 3.942743e-03 0 3.942743e-03 -8.433155e-15 1.301600e+01 
-9.340014e-01 2.990927e+00 2.990926e+00 -4.708162e-05 2.919887e-03 0 2.919887e-03 -8.433155e-15 1.301600e+01 
-7.844835e-01 2.999840e+00 2.999840e+00 -4.707978e-05 -6.181790e-04 0 -6.181790e-04 -8.433155e-15 1.301600e+01 
-5.652353e-01 3.000337e+00 3.000337e+00 -4.708127e-05 2.190855e-04 0 2.190855e-04 -8.433155e-15 1.301600e+01 
-2.957581e-01 2.999707e+00 2.999706e+00 -4.707993e-05 -7.954912e-05 0 -7.954912e-05 -8.433155e-15 1.301600e+01 
0 3.000275e+00 3.000275e+00 -4.708121e-05 -2.997662e-15 0 -2.997662e-15 -8.433155e-15 1.301600e+01 
2.957581e-01 2.999707e+00 2.999706e+00 -4.707993e-05 7.954912e-05 0 7.954912e-05 -8.433155e-15 1.301600e+01 
5.652353e-01 3.000337e+00 3.000337e+00 -4.708127e-05 -2.190855e-04 0 -2.190855e-04 -8.433155e-15 1.301600e+01 
7.844835e-01 2.999840e+00 2.999840e+00 -4.707978e-05 6.181790e-04 0 6.181790e-04 -8.433155e-15 1.301600e+01 
9.340014e-01 2.990927e+00 2.990926e+00 -4.708162e-05 -2.919887e-03 0 -2.919887e-03 -8.433155e-15 1.301600e+01 
1 1.451890e+00 1.451748e+00 -4.708914e-05 -3.942743e-03 0 -3.942743e-03 -8.433155e-15 1.301600e+01 
ZONE T="0.00012196", I=11
-1 1.213415e+00 1.213280e+00 -4.880679e-05 2.169441e-03 0 2.169441e-03 -1.163647e-15 1.297476e+01 
-9.340014e-01 2.984664e+00 2.984663e+00 -4.879195e-05 3.459534e-03 0 3.459534e-03 -1.163647e-15 1.297476e+01 
-7.844835e-01 2.999187e+00 2.999187e+00 -4.878620e-05 -7.301591e-04 0 -7.301591e-04 -1.163647e-15 1.297476e+01 
-5.652353e-01 3.000891e+00 3.000891e+00 -4.879084e-05 2.596517e-04 0 2.596517e-04 -1.163647e-15 1.297476e+01 
-2.957581e-01 2.999269e+00 2.999269e+00 -4.878668e-05 -9.432944e-05 0 -9.432944e-05 -1.163647e-15 1.297476e+01 
0 3.000678e+00 3.000678e+00 -4.879064e-05 6.661950e-15 0 6.661950e-15 -1.163647e-15 1.297476e+01 
2.957581e-01 2.999269e+00 2.999269e+00 -4.878668e-05 9.432944e-05 0 9.432944e-05 -1.163647e-15 1.297476e+01 
5.652353e-01 3.000891e+00 3.000891e+00 -4.879084e-05 -2.596517e-04 0 -2.596517e-04 -1.163647e-15 1.297476e+01 
7.844835e-01 2.999187e+00 2.999187e+00 -4.878620e-05 7.301591e-04 0 7.301591e-04 -1.163647e-15 1.297476e+01 
9.340014e-01 2.984664e+00 2.984663e+00 -4.879195e-05 -3.459534e-03 0 -3.459534e-03 -1.163647e-15 1.297476e+01 
1 1.213415e+00 1.213280e+00 -4.880679e-05 -2.169441e-03 0 -2.169441e-03 -1.163647e-15 1.297476e+01 
ZONE T="0.00015245", I=11
-1 1.040575e+00 1.040448e+00 -5.100172e-05 7.282229e-04 0 7.282229e-04 2.328426e-15 1.294629e+01 
-9.340014e-01 2.978038e+00 2.978037e+00 -5.098017e-05 3.907784e-03 0 3.907784e-03 2.328426e-15 1.294629e+01 
-7.844835e-01 2.998079e+00 2.998078e+00 -5.096879e-05 -8.237816e-04 0 -8.237816e-04 2.328426e-15 1.294629e+01 
-5.652353e-01 3.001721e+00 3.001722e+00 -5.097794e-05 2.942759e-04 0 2.942759e-04 2.328426e-15 1.294629e+01 
-2.957581e-01 2.998626e+00 2.998626e+00 -5.096972e-05 -1.069309e-04 0 -1.069309e-04 2.328426e-15 1.294629e+01 
0 3.001267e+00 3.001267e+00 -5.097756e-05 -6.329701e-15 0 -6.329701e-15 2.328426e-15 1.294629e+01 
2.957581e-01 2.998626e+00 2.998626e+00 -5.096972e-05 1.069309e-04 0 1.069309e-04 2.328426e-15 1.294629e+01 
5.652353e-01 3.001721e+00 3.001722e+00 -5.097794e-05 -2.942759e-04 0 -2.942759e-04 2.328426e-15 1.294629e+01 
7.844835e-01 2.998079e+00 2.998078e+00 -5.096879e-05 8.237816e-04 0 8.237816e-04 2.328426e-15 1.294629e+01 
9.340014e-01 2.978038e+00 2.978037e+00 -5.098017e-05 -3.907784e-03 0 -3.907784e-03 2.328426e-15 1.294629e+01 
1 1.040575e+00 1.040448e+00 -5.100172e-05 -7.282229e-04 0 -7.282229e-04 2.328426e-15 1.294629e+01 
ZONE T="0.00018294", I=11
-1 9.131006e-01 9.129809e-01 -5.297634e-05 -3.808474e-04 0 -3.808474e-04 -3.110111e-15 1.292534e+01 
-9.340014e-01 2.971292e+00 2.971291e+00 -5.294856e-05 4.281056e-03 0 4.281056e-03 -3.110111e-15 1.292534e+01 
-7.844835e-01 2.996538e+00 2.996537e+00 -5.293012e-05 -9.019386e-04 0 -9.019386e-04 -3.110111e-15 1.292534e+01 
-5.652353e-01 3.002810e+00 3.002811e+00 -5.294493e-05 3.239626e-04 0 3.239626e-04 -3.110111e-15 1.292534e+01 
-2.957581e-01 2.997793e+00 2.997793e+00 -5.293162e-05 -1.177034e-04 0 -1.177034e-04 -3.110111e-15 1.292534e+01 
0 3.002028e+00 3.002028e+00 -5.294430e-05 1.066264e-14 0 1.066264e-14 -3.110111e-15 1.292534e+01 
2.957581e-01 2.997793e+00 2.997793e+00 -5.293162e-05 1.177034e-04 0 1.177034e-04 -3.110111e-15 1.292534e+01 
5.652353e-01 3.002810e+00 3.002811e+00 -5.294493e-05 -3.239626e-04 0 -3.239626e-04 -3.110111e-15 1.292534e+01 
7.844835e-01 2.996538e+00 2.996537e+00 -5.293012e-05 9.019386e-04 0 9.019386e-04 -3.110111e-15 1.292534e+01 
9.340014e-01 2.971292e+00 2.971291e+00 -5.294856e-05 -4.281056e-03 0 -4.281056e-03 -3.110111e-15 1.292534e+01 
1 9.131006e-01 9.129809e-01 -5.297634e-05 3.808474e-04 0 3.808474e-04 -3.110111e-15 1.292534e+01 
ZONE T="0.00021343", I=11
-1 8.177337e-01 8.176206e-01 -5.458338e-05 -1.211895e-03 0 -1.211895e-03 -1.102854e-14 1.290891e+01 
-9.340014e-01 2.964547e+00 2.964545e+00 -5.454969e-05 4.580892e-03 0 4.580892e-03 -1.102854e-14 1.290891e+01 
-7.844835e-01 2.994608e+00 2.994607e+00 -5.452305e-05 -9.645226e-04 0 -9.645226e-04 -1.102854e-14 1.290891e+01 
-5.652353e-01 3.004127e+00 3.004128e+00 -5.454443e-05 3.486235e-04 0 3.486235e-04 -1.102854e-14 1.290891e+01 
-2.957581e-01 2.996793e+00 2.996792e+00 -5.452520e-05 -1.266091e-04 0 -1.266091e-04 -1.102854e-14 1.290891e+01 
0 3.002941e+00 3.002941e+00 -5.454353e-05 -1.499814e-15 0 -1.499814e-15 -1.102854e-14 1.290891e+01 
2.957581e-01 2.996793e+00 2.996792e+00 -5.452520e-05 1.266091e-04 0 1.266091e-04 -1.102854e-14 1.290891e+01 
5.652353e-01 3.004127e+00 3.004128e+00 -5.454443e-05 -3.486235e-04 0 -3.486235e-04 -1.102854e-14 1.290891e+01 
7.844835e-01 2.994608e+00 2.994607e+00 -5.452305e-05 9.645226e-04 0 9.645226e-04 -1.102854e-14 1.290891e+01 
9.340014e-01 2.964547e+00 2.964545e+00 -5.454969e-05 -4.580892e-03 0 -4.580892e-03 -1.102854e-14 1.290891e+01 
1 8.177337e-01 8.176206e-01 -5.458338e-05 1.211895e-03 0 1.211895e-03 -1.102854e-14 1.290891e+01 
ZONE T="0.00024393", I=11
-1 7.455486e-01 7.454415e-01 -5.581329e-05 -1.820724e-03 0 -1.820724e-03 -1.174432e-14 1.289526e+01 
-9.340014e-01 2.957858e+00 2.957857e+00 -5.577390e-05 4.808405e-03 0 4.808405e-03 -1.174432e-14 1.289526e+01 
