TITLE = "2 species of PNP-Steric with high order term" 
VARIABLES = "X" "Conc1" "Conc2" "phi" "Current_x""I_ext" "I_PNP" "CURRENT" "ENERGY" "
ZONE T="0.001", I=101
-1 2.160245e-02 3 -1.055929e-01 -1.601315e+02 -1.489696e+01 -1.452345e+02 -1.547767e-10 1.268563e+01 
-9.992733e-01 8.572034e-02 3 -1.058124e-01 -1.506799e+02 5.383476e+00 -1.560634e+02 -1.547767e-10 1.268563e+01 
-9.975644e-01 1.683520e-01 3 -1.063163e-01 -1.553078e+02 -4.523781e+01 -1.100700e+02 -1.547767e-10 1.268563e+01 
-9.948806e-01 3.919290e-01 3 -1.070748e-01 -1.507823e+02 -6.493410e+00 -1.442889e+02 -1.547767e-10 1.268563e+01 
-9.912247e-01 5.053346e-01 3 -1.080474e-01 -1.527196e+02 -8.520032e+01 -6.751928e+01 -1.547767e-10 1.268563e+01 
-9.866002e-01 8.085922e-01 3 -1.091837e-01 -1.472770e+02 -2.680991e+01 -1.204671e+02 -1.547767e-10 1.268563e+01 
-9.810118e-01 9.301088e-01 3 -1.104307e-01 -1.463188e+02 -1.051746e+02 -4.114421e+01 -1.547767e-10 1.268563e+01 
-9.744648e-01 1.258608e+00 3 -1.117304e-01 -1.386595e+02 -4.228673e+01 -9.637273e+01 -1.547767e-10 1.268563e+01 
-9.669657e-01 1.375373e+00 3 -1.130331e-01 -1.343592e+02 -1.087367e+02 -2.562246e+01 -1.547767e-10 1.268563e+01 
-9.585217e-01 1.698796e+00 3 -1.142863e-01 -1.239532e+02 -4.883544e+01 -7.511771e+01 -1.547767e-10 1.268563e+01 
-9.491412e-01 1.799140e+00 3 -1.154565e-01 -1.163650e+02 -1.007139e+02 -1.565114e+01 -1.547767e-10 1.268563e+01 
-9.388333e-01 2.098297e+00 3 -1.165057e-01 -1.034693e+02 -4.654533e+01 -5.692397e+01 -1.547767e-10 1.268563e+01 
-9.276081e-01 2.171660e+00 3 -1.174235e-01 -9.338064e+01 -8.481226e+01 -8.568373e+00 -1.547767e-10 1.268563e+01 
-9.154766e-01 2.433704e+00 3 -1.181898e-01 -7.907468e+01 -3.749111e+01 -4.158357e+01 -1.547767e-10 1.268563e+01 
-9.024505e-01 2.472372e+00 3 -1.188176e-01 -6.799564e+01 -6.473978e+01 -3.255863e+00 -1.547767e-10 1.268563e+01 
-8.885427e-01 2.690313e+00 3 -1.193013e-01 -5.398462e+01 -2.496718e+01 -2.901744e+01 -1.547767e-10 1.268563e+01 
-8.737667e-01 2.691452e+00 3 -1.196718e-01 -4.381052e+01 -4.444329e+01 6.327705e-01 -1.547767e-10 1.268563e+01 
-8.581369e-01 2.864926e+00 3 -1.199302e-01 -3.190188e+01 -1.262849e+01 -1.927339e+01 -1.547767e-10 1.268563e+01 
-8.416687e-01 2.831822e+00 3 -1.201162e-01 -2.426520e+01 -2.739456e+01 3.129356e+00 -1.547767e-10 1.268563e+01 
-8.243781e-01 2.967087e+00 3 -1.202286e-01 -1.564509e+01 -3.312524e+00 -1.233256e+01 -1.547767e-10 1.268563e+01 
-8.062820e-01 2.908412e+00 3 -1.203079e-01 -1.123773e+01 -1.552464e+01 4.286913e+00 -1.547767e-10 1.268563e+01 
-7.873980e-01 3.016210e+00 3 -1.203443e-01 -5.965344e+00 1.927149e+00 -7.892492e+00 -1.547767e-10 1.268563e+01 
-7.677448e-01 2.942872e+00 3 -1.203748e-01 -4.327787e+00 -8.711008e+00 4.383220e+00 -1.547767e-10 1.268563e+01 
-7.473414e-01 3.034396e+00 3 -1.203799e-01 -1.494706e+00 3.828150e+00 -5.322856e+00 -1.547767e-10 1.268563e+01 
-7.262077e-01 2.955510e+00 3 -1.203938e-01 -1.516670e+00 -5.400047e+00 3.883377e+00 -1.547767e-10 1.268563e+01 
-7.043646e-01 3.038866e+00 3 -1.203887e-01 2.639466e-02 3.910400e+00 -3.884005e+00 -1.547767e-10 1.268563e+01 
-6.818331e-01 2.959603e+00 3 -1.203986e-01 -6.577605e-01 -3.871951e+00 3.214191e+00 -1.547767e-10 1.268563e+01 
