TITLE = "2 species of PNP-Steric with high order term" 
VARIABLES = "X" "Conc1" "Conc2" "phi" "Current_x""I_ext" "I_PNP" "CURRENT" "ENERGY" "
ZONE T="1.8485e-09", I=101
-1 1.462260e+00 1.462190e+00 -1.000000e-04 8.116174e-12 0 -9.399148e-12 1.249134e-13 1.318335e+01 
-9.992733e-01 3 3 -1.000000e-04 -2.307488e-12 0 3.845591e-12 1.249134e-13 1.318335e+01 
-9.975644e-01 3 3 -1.000000e-04 8.633094e-13 0 1.036837e-12 1.249134e-13 1.318335e+01 
-9.948806e-01 3 3 -1.000000e-04 -1.558753e-13 0 -8.772982e-13 1.249134e-13 1.318335e+01 
-9.912247e-01 3 3 -1.000000e-04 -6.654677e-13 0 1.277478e-12 1.249134e-13 1.318335e+01 
-9.866002e-01 3 3 -1.000000e-04 3.659739e-12 0 -9.952039e-13 1.249134e-13 1.318335e+01 
-9.810118e-01 3 3 -1.000000e-04 -1.284972e-12 0 1.202372e-12 1.249134e-13 1.318335e+01 
-9.744648e-01 3 3 -1.000000e-04 -2.027045e-12 0 -1.820211e-13 1.249134e-13 1.318335e+01 
-9.669657e-01 3 3 -1.000000e-04 1.667999e-12 0 -4.274914e-13 1.249134e-13 1.318335e+01 
-9.585217e-01 3 3 -1.000000e-04 3.144152e-13 0 9.209300e-14 1.249134e-13 1.318335e+01 
-9.491412e-01 3 3 -1.000000e-04 -5.302425e-13 0 2.243206e-13 1.249134e-13 1.318335e+01 
-9.388333e-01 3 3 -1.000000e-04 3.883560e-13 0 4.484746e-13 1.249134e-13 1.318335e+01 
-9.276081e-01 3 3 -1.000000e-04 8.879564e-13 0 -3.137490e-13 1.249134e-13 1.318335e+01 
-9.154766e-01 3 3 -1.000000e-04 1.179057e-13 0 -5.329071e-14 1.249134e-13 1.318335e+01 
-9.024505e-01 3 3 -1.000000e-04 -4.256595e-13 0 2.416400e-13 1.249134e-13 1.318335e+01 
-8.885427e-01 3 3 -1.000000e-04 9.485746e-13 0 3.219092e-13 1.249134e-13 1.318335e+01 
-8.737667e-01 3 3 -1.000000e-04 1.498801e-13 0 -2.181588e-13 1.249134e-13 1.318335e+01 
-8.581369e-01 3 3 -1.000000e-04 -8.006928e-13 0 1.958433e-13 1.249134e-13 1.318335e+01 
-8.416687e-01 3 3 -1.000000e-04 -4.163336e-13 0 -1.523781e-14 1.249134e-13 1.318335e+01 
-8.243781e-01 3 3 -1.000000e-04 -7.280843e-13 0 -3.455569e-14 1.249134e-13 1.318335e+01 
-8.062820e-01 3 3 -1.000000e-04 1.568745e-13 0 -1.481315e-13 1.249134e-13 1.318335e+01 
-7.873980e-01 3 3 -1.000000e-04 -5.145884e-13 0 -4.354850e-14 1.249134e-13 1.318335e+01 
-7.677448e-01 3 3 -1.000000e-04 -1.555422e-13 0 -1.302292e-13 1.249134e-13 1.318335e+01 
-7.473414e-01 3 3 -1.000000e-04 -3.094192e-13 0 3.330669e-16 1.249134e-13 1.318335e+01 
-7.262077e-01 3 3 -1.000000e-04 3.290701e-13 0 -3.547163e-14 1.249134e-13 1.318335e+01 
-7.043646e-01 3 3 -1.000000e-04 -4.013456e-13 0 1.489642e-13 1.249134e-13 1.318335e+01 
-6.818331e-01 3 3 -1.000000e-04 -5.229150e-14 0 5.645484e-14 1.249134e-13 1.318335e+01 
-6.586355e-01 3 3 -1.000000e-04 -4.090062e-13 0 4.463097e-14 1.249134e-13 1.318335e+01 
-6.347943e-01 3 3 -1.000000e-04 3.027578e-13 0 6.369905e-14 1.249134e-13 1.318335e+01 
-6.103329e-01 3 3 -1.000000e-04 1.052158e-12 0 6.211698e-14 1.249134e-13 1.318335e+01 
-5.852752e-01 3 3 -1.000000e-04 0 0 -8.326673e-14 1.249134e-13 1.318335e+01 
-5.596455e-01 3 3 -1.000000e-04 2.188250e-13 0 7.718826e-14 1.249134e-13 1.318335e+01 
-5.334691e-01 3 3 -1.000000e-04 -2.291500e-13 0 -4.121703e-14 1.249134e-13 1.318335e+01 
-5.067714e-01 3 3 -1.000000e-04 4.036771e-13 0 -2.206568e-14 1.249134e-13 1.318335e+01 
-4.795785e-01 3 3 -1.000000e-04 5.199174e-13 0 -1.840195e-14 1.249134e-13 1.318335e+01 
-4.519171e-01 3 3 -1.000000e-04 6.727952e-14 0 1.345590e-13 1.249134e-13 1.318335e+01 
-4.238141e-01 3 3 -1.000000e-04 -2.131628e-14 0 -8.984480e-14 1.249134e-13 1.318335e+01 
-3.952970e-01 3 3 -1.000000e-04 -5.329071e-14 0 5.312417e-14 1.249134e-13 1.318335e+01 
-3.663936e-01 3 3 -1.000000e-04 -2.391420e-13 0 -6.078471e-14 1.249134e-13 1.318335e+01 
-3.371323e-01 3 3 -1.000000e-04 1.971756e-13 0 2.711165e-13 1.249134e-13 1.318335e+01 
-3.075416e-01 3 3 -1.000000e-04 2.078338e-13 0 1.567080e-13 1.249134e-13 1.318335e+01 
-2.776503e-01 3 3 -1.000000e-04 9.459100e-14 0 3.463896e-14 1.249134e-13 1.318335e+01 
-2.474878e-01 3 3 -1.000000e-04 4.782841e-13 0 -3.214096e-14 1.249134e-13 1.318335e+01 
-2.170834e-01 3 3 -1.000000e-04 1.918465e-13 0 1.465494e-14 1.249134e-13 1.318335e+01 
-1.864670e-01 3 3 -1.000000e-04 -3.330669e-15 0 -4.779510e-14 1.249134e-13 1.318335e+01 
-1.556683e-01 3 3 -1.000000e-04 -2.597922e-13 0 -2.664535e-14 1.249134e-13 1.318335e+01 
-1.247176e-01 3 3 -1.000000e-04 -2.231548e-13 0 8.393286e-14 1.249134e-13 1.318335e+01 
-9.364497e-02 3 3 -1.000000e-04 -1.592060e-13 0 5.712097e-14 1.249134e-13 1.318335e+01 
-6.248086e-02 3 3 -1.000000e-04 3.170797e-13 0 -5.895284e-14 1.249134e-13 1.318335e+01 
-3.125570e-02 3 3 -1.000000e-04 -8.659740e-15 0 9.975354e-14 1.249134e-13 1.318335e+01 
0 3 3 -1.000000e-04 3.417266e-13 0 2.439715e-13 1.249134e-13 1.318335e+01 
3.125570e-02 3 3 -1.000000e-04 1.512124e-13 0 -1.132427e-14 1.249134e-13 1.318335e+01 
6.248086e-02 3 3 -1.000000e-04 7.993606e-15 0 5.295764e-14 1.249134e-13 1.318335e+01 
9.364497e-02 3 3 -1.000000e-04 -1.278977e-13 0 2.664535e-15 1.249134e-13 1.318335e+01 
1.247176e-01 3 3 -1.000000e-04 -1.851852e-13 0 4.313216e-14 1.249134e-13 1.318335e+01 
1.556683e-01 3 3 -1.000000e-04 -2.597922e-13 0 5.345724e-14 1.249134e-13 1.318335e+01 
1.864670e-01 3 3 -1.000000e-04 -4.263256e-13 0 5.528911e-14 1.249134e-13 1.318335e+01 
2.170834e-01 3 3 -1.000000e-04 2.677858e-13 0 1.302292e-13 1.249134e-13 1.318335e+01 
2.474878e-01 3 3 -1.000000e-04 1.618705e-13 0 -3.513856e-14 1.249134e-13 1.318335e+01 
2.776503e-01 3 3 -1.000000e-04 -6.061818e-14 0 2.574607e-13 1.249134e-13 1.318335e+01 
3.075416e-01 3 3 -1.000000e-04 5.768719e-13 0 1.808553e-13 1.249134e-13 1.318335e+01 
3.371323e-01 3 3 -1.000000e-04 -2.358114e-13 0 -7.660539e-15 1.249134e-13 1.318335e+01 
3.663936e-01 3 3 -1.000000e-04 -2.398082e-13 0 2.531308e-14 1.249134e-13 1.318335e+01 
3.952970e-01 3 3 -1.000000e-04 -3.810285e-13 0 -7.660539e-14 1.249134e-13 1.318335e+01 
4.238141e-01 3 3 -1.000000e-04 5.742073e-13 0 4.629630e-14 1.249134e-13 1.318335e+01 
4.519171e-01 3 3 -1.000000e-04 5.462297e-14 0 -1.095790e-13 1.249134e-13 1.318335e+01 
4.795785e-01 3 3 -1.000000e-04 9.059420e-14 0 1.209033e-13 1.249134e-13 1.318335e+01 
5.067714e-01 3 3 -1.000000e-04 4.769518e-13 0 -7.993606e-15 1.249134e-13 1.318335e+01 
5.334691e-01 3 3 -1.000000e-04 -1.172396e-13 0 1.295630e-13 1.249134e-13 1.318335e+01 
