TITLE = "2 species of PNP-Steric with high order term" 
VARIABLES = "X" "Conc1" "Conc2" "phi" "Current_x""I_ext" "I_PNP" "CURRENT" "ENERGY" "
ZONE T="1.063e-06", I=21
-1 1.470821e+00 1.470751e+00 -1.000000e-04 -4.263256e-14 0 -1.332268e-13 -2.854215e-14 1.318335e+01 
-9.825723e-01 3 3 -1.000000e-04 -2.970957e-13 0 5.495604e-14 -2.854215e-14 1.318335e+01 
-9.419763e-01 3 3 -1.000000e-04 -2.704503e-13 0 4.862777e-14 -2.854215e-14 1.318335e+01 
-8.792948e-01 3 3 -1.000000e-04 -3.996803e-15 0 -5.329071e-15 -2.854215e-14 1.318335e+01 
-7.960019e-01 3 3 -1.000000e-04 9.325873e-15 0 2.764455e-14 -2.854215e-14 1.318335e+01 
-6.940510e-01 3 3 -1.000000e-04 -5.195844e-14 0 3.630429e-14 -2.854215e-14 1.318335e+01 
-5.758320e-01 3 3 -1.000000e-04 2.131628e-14 0 2.231548e-14 -2.854215e-14 1.318335e+01 
-4.441158e-01 3 3 -1.000000e-04 1.731948e-14 0 -3.330669e-15 -2.854215e-14 1.318335e+01 
-3.019899e-01 3 3 -1.000000e-04 -3.597123e-14 0 -1.731948e-14 -2.854215e-14 1.318335e+01 
-1.527855e-01 3 3 -1.000000e-04 -6.394885e-14 0 -4.996004e-15 -2.854215e-14 1.318335e+01 
0 3 3 -1.000000e-04 -3.996803e-15 0 -3.663736e-15 -2.854215e-14 1.318335e+01 
1.527855e-01 3 3 -1.000000e-04 2.531308e-14 0 -1.465494e-14 -2.854215e-14 1.318335e+01 
3.019899e-01 3 3 -1.000000e-04 2.398082e-14 0 1.332268e-14 -2.854215e-14 1.318335e+01 
4.441158e-01 3 3 -1.000000e-04 -3.730349e-14 0 -1.998401e-15 -2.854215e-14 1.318335e+01 
5.758320e-01 3 3 -1.000000e-04 3.730349e-14 0 -3.330669e-15 -2.854215e-14 1.318335e+01 
6.940510e-01 3 3 -1.000000e-04 1.225686e-13 0 -2.398082e-14 -2.854215e-14 1.318335e+01 
7.960019e-01 3 3 -1.000000e-04 0 0 7.993606e-15 -2.854215e-14 1.318335e+01 
8.792948e-01 3 3 -1.000000e-04 -1.278977e-13 0 4.263256e-14 -2.854215e-14 1.318335e+01 
9.419763e-01 3 3 -1.000000e-04 4.263256e-14 0 0 -2.854215e-14 1.318335e+01 
9.825723e-01 3 3 -1.000000e-04 0 0 8.526513e-14 -2.854215e-14 1.318335e+01 
1 1.470821e+00 1.470751e+00 -1.000000e-04 -6.821210e-13 0 -1.705303e-13 -2.854215e-14 1.318335e+01 
ZONE T="2.1261e-06", I=21
-1 1.049104e+00 1.049027e+00 -9.330287e-05 -5.002081e-02 -5.428191e-02 4.261104e-03 -2.595336e-15 1.313138e+01 
-9.825723e-01 2.981762e+00 2.981762e+00 -9.330287e-05 4.651841e-03 -1.938637e-03 6.590478e-03 -2.595336e-15 1.313138e+01 
-9.419763e-01 2.998582e+00 2.998582e+00 -9.330287e-05 -1.026013e-03 4.275871e-04 -1.453601e-03 -2.595336e-15 1.313138e+01 
