TITLE = "2 species of PNP-Steric with high order term" 
VARIABLES = "X" "Conc1" "Conc2" "phi" "Current_x""I_ext" "I_PNP" "CURRENT" "ENERGY" "
ZONE T="4.5162e-09", I=51
-1 2.760524e+00 2.760513e+00 -1.000000e-04 -2.525979e-12 0 4.662937e-13 5.237438e-14 1.318335e+01 
-9.971226e-01 3.000000e+00 3.000000e+00 -1.000000e-04 1.147082e-12 0 2.930989e-13 5.237438e-14 1.318335e+01 
-9.903648e-01 3 3 -1.000000e-04 1.016520e-12 0 -1.898481e-14 5.237438e-14 1.318335e+01 
-9.797745e-01 3.000000e+00 3.000000e+00 -1.000000e-04 -4.996004e-13 0 -1.691980e-13 5.237438e-14 1.318335e+01 
-9.653935e-01 3.000000e+00 3.000000e+00 -1.000000e-04 1.518785e-13 0 6.111778e-14 5.237438e-14 1.318335e+01 
-9.472774e-01 3.000000e+00 3.000000e+00 -1.000000e-04 -3.690381e-13 0 -5.828671e-14 5.237438e-14 1.318335e+01 
-9.254965e-01 3.000000e+00 3.000000e+00 -1.000000e-04 -2.258194e-13 0 -4.879430e-14 5.237438e-14 1.318335e+01 
-9.001349e-01 3.000000e+00 3.000000e+00 -1.000000e-04 7.893686e-13 0 -7.344125e-14 5.237438e-14 1.318335e+01 
-8.712910e-01 3 3 -1.000000e-04 -1.059153e-13 0 5.828671e-15 5.237438e-14 1.318335e+01 
-8.390761e-01 3 3 -1.000000e-04 -9.725554e-14 0 -5.795364e-14 5.237438e-14 1.318335e+01 
-8.036151e-01 3 3 -1.000000e-04 4.416467e-13 0 3.663736e-15 5.237438e-14 1.318335e+01 
-7.650450e-01 3 3 -1.000000e-04 -2.864375e-13 0 1.698641e-14 5.237438e-14 1.318335e+01 
-7.235151e-01 3 3 -1.000000e-04 2.284839e-13 0 -1.881828e-14 5.237438e-14 1.318335e+01 
-6.791861e-01 3 3 -1.000000e-04 5.728751e-14 0 5.995204e-15 5.237438e-14 1.318335e+01 
-6.322294e-01 3 3 -1.000000e-04 1.698641e-13 0 6.328271e-15 5.237438e-14 1.318335e+01 
-5.828267e-01 3 3 -1.000000e-04 1.532108e-13 0 2.914335e-14 5.237438e-14 1.318335e+01 
-5.311692e-01 3 3 -1.000000e-04 2.331468e-14 0 -3.813616e-14 5.237438e-14 1.318335e+01 
-4.774567e-01 3 3 -1.000000e-04 3.796963e-14 0 -5.112577e-14 5.237438e-14 1.318335e+01 
-4.218971e-01 3 3 -1.000000e-04 1.105782e-13 0 -5.528911e-14 5.237438e-14 1.318335e+01 
-3.647051e-01 3 3 -1.000000e-04 -1.938449e-13 0 3.996803e-14 5.237438e-14 1.318335e+01 
-3.061023e-01 3 3 -1.000000e-04 -3.477219e-13 0 -5.895284e-14 5.237438e-14 1.318335e+01 
-2.463151e-01 3 3 -1.000000e-04 2.378098e-13 0 0 5.237438e-14 1.318335e+01 
-1.855750e-01 3 3 -1.000000e-04 2.611245e-13 0 8.493206e-15 5.237438e-14 1.318335e+01 
-1.241170e-01 3 3 -1.000000e-04 -9.259260e-14 0 -2.831069e-15 5.237438e-14 1.318335e+01 
-6.217878e-02 3 3 -1.000000e-04 -2.111644e-13 0 3.247402e-14 5.237438e-14 1.318335e+01 
0 3 3 -1.000000e-04 8.792966e-14 0 -1.082467e-14 5.237438e-14 1.318335e+01 
6.217878e-02 3 3 -1.000000e-04 -1.798561e-13 0 -1.731948e-14 5.237438e-14 1.318335e+01 
1.241170e-01 3 3 -1.000000e-04 -9.325873e-14 0 -7.993606e-15 5.237438e-14 1.318335e+01 
1.855750e-01 3 3 -1.000000e-04 2.398082e-14 0 6.661338e-15 5.237438e-14 1.318335e+01 
2.463151e-01 3 3 -1.000000e-04 -1.132427e-13 0 -1.931788e-14 5.237438e-14 1.318335e+01 
3.061023e-01 3 3 -1.000000e-04 1.971756e-13 0 6.661338e-16 5.237438e-14 1.318335e+01 
3.647051e-01 3 3 -1.000000e-04 2.557954e-13 0 -4.862777e-14 5.237438e-14 1.318335e+01 
4.218971e-01 3 3 -1.000000e-04 -2.398082e-13 0 1.065814e-14 5.237438e-14 1.318335e+01 
4.774567e-01 3 3 -1.000000e-04 3.077538e-13 0 -9.225953e-14 5.237438e-14 1.318335e+01 
5.311692e-01 3 3 -1.000000e-04 1.332268e-14 0 -1.265654e-14 5.237438e-14 1.318335e+01 
5.828267e-01 3 3 -1.000000e-04 -6.128431e-14 0 3.330669e-15 5.237438e-14 1.318335e+01 
6.322294e-01 3 3 -1.000000e-04 9.325873e-14 0 -2.797762e-14 5.237438e-14 1.318335e+01 
6.791861e-01 3 3 -1.000000e-04 1.385558e-13 0 -3.730349e-14 5.237438e-14 1.318335e+01 
7.235151e-01 3 3 -1.000000e-04 -9.059420e-14 0 -3.996803e-15 5.237438e-14 1.318335e+01 
7.650450e-01 3 3 -1.000000e-04 -1.438849e-13 0 -1.865175e-14 5.237438e-14 1.318335e+01 
8.036151e-01 3 3 -1.000000e-04 -1.385558e-13 0 3.463896e-14 5.237438e-14 1.318335e+01 
8.390761e-01 3 3 -1.000000e-04 -1.385558e-13 0 -5.861978e-14 5.237438e-14 1.318335e+01 
8.712910e-01 3 3 -1.000000e-04 1.705303e-13 0 -3.463896e-14 5.237438e-14 1.318335e+01 
9.001349e-01 3.000000e+00 3.000000e+00 -1.000000e-04 -3.730349e-13 0 -3.996803e-14 5.237438e-14 1.318335e+01 
9.254965e-01 3.000000e+00 3.000000e+00 -1.000000e-04 2.984279e-13 0 -1.598721e-14 5.237438e-14 1.318335e+01 
9.472774e-01 3.000000e+00 3.000000e+00 -1.000000e-04 6.394885e-13 0 -7.460699e-14 5.237438e-14 1.318335e+01 
9.653935e-01 3.000000e+00 3.000000e+00 -1.000000e-04 -1.705303e-13 0 -1.492140e-13 5.237438e-14 1.318335e+01 
9.797745e-01 3.000000e+00 3.000000e+00 -1.000000e-04 1.705303e-13 0 -2.557954e-13 5.237438e-14 1.318335e+01 
9.903648e-01 3.000000e+00 3.000000e+00 -1.000000e-04 3.410605e-13 0 -1.705303e-13 5.237438e-14 1.318335e+01 
9.971226e-01 3.000000e+00 3.000000e+00 -1.000000e-04 0 0 -3.410605e-13 5.237438e-14 1.318335e+01 
1 2.760524e+00 2.760513e+00 -1.000000e-04 0 0 2.728484e-12 5.237438e-14 1.318335e+01 
ZONE T="9.0323e-09", I=51
-1 1.360203e+03 1.360260e+03 -9.982726e-05 1.200694e+04 1.200693e+04 1.288279e-02 3.749429e-09 1.318180e+01 
-9.971226e-01 -9.874211e+01 -9.874643e+01 -9.982726e-05 2.455328e+03 2.455325e+03 3.347068e-03 3.749429e-09 1.318180e+01 
-9.903648e-01 1.260968e+01 1.261004e+01 -9.982726e-05 -9.041362e+02 -9.041354e+02 -7.431276e-04 3.749429e-09 1.318180e+01 
-9.797745e-01 1.765358e+00 1.765333e+00 -9.982726e-05 3.493081e+02 3.493078e+02 2.934824e-04 3.749429e-09 1.318180e+01 
-9.653935e-01 3.182665e+00 3.182657e+00 -9.982726e-05 -1.742272e+02 -1.742271e+02 -1.492334e-04 3.749429e-09 1.318180e+01 
-9.472774e-01 3.011978e+00 3.011988e+00 -9.982726e-05 1.010363e+02 1.010363e+02 8.755369e-05 3.749429e-09 1.318180e+01 
-9.254965e-01 2.949766e+00 2.949757e+00 -9.982726e-05 -6.452575e+01 -6.452569e+01 -5.631722e-05 3.749429e-09 1.318180e+01 
-9.001349e-01 3.053164e+00 3.053171e+00 -9.982726e-05 4.404071e+01 4.404067e+01 3.861715e-05 3.749429e-09 1.318180e+01 
-8.712910e-01 2.952063e+00 2.952058e+00 -9.982726e-05 -3.154523e+01 -3.154521e+01 -2.774795e-05 3.749429e-09 1.318180e+01 
