TITLE = "2 species of PNP-Steric with high order term" 
VARIABLES = "X" "Conc1" "Conc2" "phi" "Current_x""I_ext" "I_PNP" "CURRENT" "ENERGY" "
ZONE T="0.001", I=51
-1 2.176942e-01 2.177042e-01 1.010388e-05 3.826039e-04 -8.668412e-04 1.249445e-03 9.834904e-10 1.177780e+01 
-9.971226e-01 3.844851e-01 3.844921e-01 1.010656e-05 1.542900e-03 5.027708e-03 -3.484808e-03 9.834904e-10 1.177780e+01 
-9.903648e-01 6.664566e-01 6.664649e-01 1.011300e-05 1.416588e-04 -2.603307e-03 2.744966e-03 9.834904e-10 1.177780e+01 
-9.797745e-01 1.013075e+00 1.013066e+00 1.012483e-05 -2.150235e-03 5.859453e-03 -8.009688e-03 9.834904e-10 1.177780e+01 
-9.653935e-01 1.347193e+00 1.347168e+00 1.013623e-05 -5.913889e-03 -7.244949e-03 1.331060e-03 9.834904e-10 1.177780e+01 
-9.472774e-01 1.693828e+00 1.693746e+00 1.013269e-05 -5.012470e-03 2.498319e-03 -7.510789e-03 9.834904e-10 1.177780e+01 
-9.254965e-01 1.993936e+00 1.994019e+00 1.007433e-05 7.596425e-03 -2.200126e-02 2.959768e-02 9.834904e-10 1.177780e+01 
-9.001349e-01 2.279861e+00 2.279918e+00 1.009912e-05 2.107748e-03 3.846361e-02 -3.635586e-02 9.834904e-10 1.177780e+01 
-8.712910e-01 2.500744e+00 2.500576e+00 1.015521e-05 -7.818087e-03 -3.168170e-02 2.386362e-02 9.834904e-10 1.177780e+01 
-8.390761e-01 2.691879e+00 2.692069e+00 1.004290e-05 6.574010e-03 1.470338e-02 -8.129374e-03 9.834904e-10 1.177780e+01 
-8.036151e-01 2.814479e+00 2.814320e+00 1.015712e-05 -3.311839e-03 -1.539104e-03 -1.772734e-03 9.834904e-10 1.177780e+01 
-7.650450e-01 2.910423e+00 2.910542e+00 1.005971e-05 8.970838e-04 -5.116850e-03 6.013933e-03 9.834904e-10 1.177780e+01 
-7.235151e-01 2.952742e+00 2.952657e+00 1.013455e-05 2.734231e-04 7.070122e-03 -6.796699e-03 9.834904e-10 1.177780e+01 
-6.791861e-01 2.987258e+00 2.987320e+00 1.007502e-05 -6.977694e-04 -7.011095e-03 6.313326e-03 9.834904e-10 1.177780e+01 
-6.322294e-01 2.990283e+00 2.990236e+00 1.012223e-05 7.608099e-04 6.131443e-03 -5.370633e-03 9.834904e-10 1.177780e+01 
-5.828267e-01 3.002447e+00 3.002484e+00 1.008200e-05 -7.034353e-04 -5.180693e-03 4.477258e-03 9.834904e-10 1.177780e+01 
-5.311692e-01 2.995707e+00 2.995677e+00 1.011628e-05 6.032740e-04 4.260349e-03 -3.657075e-03 9.834904e-10 1.177780e+01 
-4.774567e-01 3.003807e+00 3.003832e+00 1.008530e-05 -5.080636e-04 -3.499650e-03 2.991586e-03 9.834904e-10 1.177780e+01 
-4.218971e-01 2.996153e+00 2.996131e+00 1.011307e-05 4.168584e-04 2.830768e-03 -2.413909e-03 9.834904e-10 1.177780e+01 
-3.647051e-01 3.003785e+00 3.003805e+00 1.008705e-05 -3.397814e-04 -2.281177e-03 1.941395e-03 9.834904e-10 1.177780e+01 
-3.061023e-01 2.996234e+00 2.996217e+00 1.011123e-05 2.688084e-04 1.792916e-03 -1.524108e-03 9.834904e-10 1.177780e+01 
-2.463151e-01 3.003732e+00 3.003748e+00 1.008802e-05 -2.076359e-04 -1.376097e-03 1.168461e-03 9.834904e-10 1.177780e+01 
-1.855750e-01 2.996278e+00 2.996263e+00 1.011019e-05 1.503603e-04 9.936276e-04 -8.432673e-04 9.834904e-10 1.177780e+01 
-1.241170e-01 3.003701e+00 3.003716e+00 1.008851e-05 -9.846983e-05 -6.484272e-04 5.499574e-04 9.834904e-10 1.177780e+01 
-6.217878e-02 2.996299e+00 2.996285e+00 1.010972e-05 4.838424e-05 3.184414e-04 -2.700571e-04 9.834904e-10 1.177780e+01 
0 3.003692e+00 3.003705e+00 1.008866e-05 8.408028e-10 1.186043e-09 -3.454235e-10 9.834904e-10 1.177780e+01 
6.217878e-02 2.996299e+00 2.996285e+00 1.010972e-05 -4.838346e-05 -3.184431e-04 2.700597e-04 9.834904e-10 1.177780e+01 
1.241170e-01 3.003701e+00 3.003716e+00 1.008850e-05 9.847125e-05 6.484278e-04 -5.499565e-04 9.834904e-10 1.177780e+01 
1.855750e-01 2.996278e+00 2.996263e+00 1.011018e-05 -1.503592e-04 -9.936271e-04 8.432679e-04 9.834904e-10 1.177780e+01 
2.463151e-01 3.003732e+00 3.003748e+00 1.008800e-05 2.076370e-04 1.376095e-03 -1.168458e-03 9.834904e-10 1.177780e+01 
3.061023e-01 2.996234e+00 2.996217e+00 1.011121e-05 -2.688069e-04 -1.792913e-03 1.524106e-03 9.834904e-10 1.177780e+01 
3.647051e-01 3.003785e+00 3.003805e+00 1.008703e-05 3.397819e-04 2.281171e-03 -1.941389e-03 9.834904e-10 1.177780e+01 
4.218971e-01 2.996153e+00 2.996131e+00 1.011305e-05 -4.168562e-04 -2.830760e-03 2.413904e-03 9.834904e-10 1.177780e+01 
4.774567e-01 3.003807e+00 3.003832e+00 1.008527e-05 5.080637e-04 3.499642e-03 -2.991578e-03 9.834904e-10 1.177780e+01 
5.311692e-01 2.995707e+00 2.995677e+00 1.011625e-05 -6.032718e-04 -4.260341e-03 3.657069e-03 9.834904e-10 1.177780e+01 
5.828267e-01 3.002447e+00 3.002484e+00 1.008197e-05 7.034352e-04 5.180683e-03 -4.477248e-03 9.834904e-10 1.177780e+01 
6.322294e-01 2.990283e+00 2.990236e+00 1.012219e-05 -7.608072e-04 -6.131431e-03 5.370624e-03 9.834904e-10 1.177780e+01 
6.791861e-01 2.987258e+00 2.987320e+00 1.007499e-05 6.977696e-04 7.011084e-03 -6.313315e-03 9.834904e-10 1.177780e+01 
7.235151e-01 2.952742e+00 2.952657e+00 1.013452e-05 -2.734224e-04 -7.070118e-03 6.796695e-03 9.834904e-10 1.177780e+01 
7.650450e-01 2.910423e+00 2.910542e+00 1.005967e-05 -8.970810e-04 5.116851e-03 -6.013932e-03 9.834904e-10 1.177780e+01 
8.036151e-01 2.814479e+00 2.814320e+00 1.015708e-05 3.311838e-03 1.539102e-03 1.772736e-03 9.834904e-10 1.177780e+01 
8.390761e-01 2.691879e+00 2.692069e+00 1.004286e-05 -6.574008e-03 -1.470339e-02 8.129379e-03 9.834904e-10 1.177780e+01 
8.712910e-01 2.500744e+00 2.500576e+00 1.015517e-05 7.818088e-03 3.168172e-02 -2.386363e-02 9.834904e-10 1.177780e+01 
9.001349e-01 2.279861e+00 2.279918e+00 1.009908e-05 -2.107739e-03 -3.846364e-02 3.635590e-02 9.834904e-10 1.177780e+01 
9.254965e-01 1.993936e+00 1.994019e+00 1.007428e-05 -7.596451e-03 2.200126e-02 -2.959771e-02 9.834904e-10 1.177780e+01 
9.472774e-01 1.693828e+00 1.693746e+00 1.013265e-05 5.012488e-03 -2.498274e-03 7.510762e-03 9.834904e-10 1.177780e+01 
9.653935e-01 1.347193e+00 1.347168e+00 1.013618e-05 5.913910e-03 7.244893e-03 -1.330983e-03 9.834904e-10 1.177780e+01 
9.797745e-01 1.013075e+00 1.013066e+00 1.012478e-05 2.150175e-03 -5.859438e-03 8.009613e-03 9.834904e-10 1.177780e+01 
9.903648e-01 6.664566e-01 6.664649e-01 1.011295e-05 -1.416283e-04 2.603326e-03 -2.744954e-03 9.834904e-10 1.177780e+01 
9.971226e-01 3.844851e-01 3.844921e-01 1.010651e-05 -1.542880e-03 -5.027702e-03 3.484823e-03 9.834904e-10 1.177780e+01 
1 2.176942e-01 2.177042e-01 1.010383e-05 -3.826139e-04 8.668538e-04 -1.249468e-03 9.834904e-10 1.177780e+01 
ZONE T="0.002", I=51
-1 2.179349e-01 2.179509e-01 1.633737e-05 -5.381231e-04 4.075350e-04 -9.456581e-04 -1.974533e-09 1.119524e+01 
-9.971226e-01 3.382428e-01 3.382545e-01 1.633393e-05 1.203131e-03 4.618845e-03 -3.415714e-03 -1.974533e-09 1.119524e+01 
-9.903648e-01 5.595565e-01 5.595677e-01 1.632639e-05 7.045485e-04 -1.189118e-03 1.893666e-03 -1.974533e-09 1.119524e+01 
-9.797745e-01 8.339064e-01 8.339138e-01 1.631696e-05 2.077048e-03 4.209775e-03 -2.132727e-03 -1.974533e-09 1.119524e+01 
