TITLE = "2 species of PNP-Steric with high order term" 
VARIABLES = "X" "Conc1" "Conc2" "phi" "Current_x""I_ext" "I_PNP" "CURRENT" "ENERGY" "
ZONE T="2.8406e-10", I=101
-1 3.179254e+00 3.179265e+00 -1.000000e-04 -1.429123e-11 0 -1.640513e-11 -5.502840e-15 1.318335e+01 
-9.995066e-01 3.031622e+00 3.031624e+00 -1.000000e-04 8.715403e-13 0 6.988004e-13 -5.502840e-15 1.318335e+01 
-9.980267e-01 2.988387e+00 2.988386e+00 -1.000000e-04 1.587174e-12 0 -4.781159e-12 -5.502840e-15 1.318335e+01 
-9.955620e-01 3.006341e+00 3.006341e+00 -1.000000e-04 -1.560752e-12 0 2.838661e-13 -5.502840e-15 1.318335e+01 
-9.921147e-01 2.995907e+00 2.995907e+00 -1.000000e-04 7.836279e-13 0 3.352307e-12 -5.502840e-15 1.318335e+01 
-9.876883e-01 3.002899e+00 3.002900e+00 -1.000000e-04 -3.328122e-13 0 -1.448632e-12 -5.502840e-15 1.318335e+01 
-9.822873e-01 2.997821e+00 2.997821e+00 -1.000000e-04 -3.953248e-13 0 -2.133563e-13 -5.502840e-15 1.318335e+01 
-9.759168e-01 3.001706e+00 3.001707e+00 -1.000000e-04 6.621858e-13 0 -1.079793e-12 -5.502840e-15 1.318335e+01 
-9.685832e-01 2.998623e+00 2.998623e+00 -1.000000e-04 5.290910e-13 0 7.416035e-13 -5.502840e-15 1.318335e+01 
-9.602937e-01 3.001137e+00 3.001137e+00 -1.000000e-04 -1.340398e-13 0 -2.768108e-13 -5.502840e-15 1.318335e+01 
-9.510565e-01 2.999044e+00 2.999044e+00 -1.000000e-04 -2.284715e-13 0 -5.288284e-15 -5.502840e-15 1.318335e+01 
-9.408808e-01 3.000816e+00 3.000816e+00 -1.000000e-04 -5.141357e-13 0 4.484828e-13 -5.502840e-15 1.318335e+01 
-9.297765e-01 2.999295e+00 2.999295e+00 -1.000000e-04 7.188175e-13 0 -1.315931e-13 -5.502840e-15 1.318335e+01 
-9.177546e-01 3.000615e+00 3.000615e+00 -1.000000e-04 -8.711304e-13 0 -9.712608e-13 -5.502840e-15 1.318335e+01 
-9.048271e-01 2.999459e+00 2.999459e+00 -1.000000e-04 4.686610e-13 0 7.460942e-13 -5.502840e-15 1.318335e+01 
-8.910065e-01 3.000479e+00 3.000479e+00 -1.000000e-04 -4.979569e-13 0 -3.553298e-13 -5.502840e-15 1.318335e+01 
-8.763067e-01 2.999573e+00 2.999573e+00 -1.000000e-04 6.750849e-13 0 2.635316e-13 -5.502840e-15 1.318335e+01 
-8.607420e-01 3.000383e+00 3.000383e+00 -1.000000e-04 -3.973295e-13 0 -3.568259e-13 -5.502840e-15 1.318335e+01 
-8.443279e-01 2.999655e+00 2.999655e+00 -1.000000e-04 -3.066303e-13 0 1.672552e-13 -5.502840e-15 1.318335e+01 
-8.270806e-01 3.000312e+00 3.000312e+00 -1.000000e-04 7.895344e-13 0 1.561641e-14 -5.502840e-15 1.318335e+01 
-8.090170e-01 2.999717e+00 2.999717e+00 -1.000000e-04 -5.043334e-13 0 -8.166539e-14 -5.502840e-15 1.318335e+01 
-7.901550e-01 3.000258e+00 3.000258e+00 -1.000000e-04 4.729608e-13 0 1.292265e-12 -5.502840e-15 1.318335e+01 
-7.705132e-01 2.999765e+00 2.999765e+00 -1.000000e-04 -2.660211e-13 0 -1.069701e-12 -5.502840e-15 1.318335e+01 
-7.501111e-01 3.000215e+00 3.000215e+00 -1.000000e-04 -8.913299e-13 0 -6.203029e-13 -5.502840e-15 1.318335e+01 
-7.289686e-01 2.999803e+00 2.999803e+00 -1.000000e-04 9.748477e-13 0 1.261573e-12 -5.502840e-15 1.318335e+01 
