TITLE = "2 species of PNP-Steric with high order term" 
VARIABLES = "X" "Conc1" "Conc2" "phi" "Current_x""I_ext" "I_PNP" "CURRENT" "ENERGY" "
ZONE T="0.001", I=101
-1 2.146956e-01 2.396339e-01 -1.062576e-04 -7.378746e+00 0 -1.567234e+02 -6.399631e-04 1.184102e+01 
-9.995066e-01 2.616789e-01 2.617939e-01 -1.058538e-04 2.250678e+00 0 -5.309844e+01 -6.399631e-04 1.184102e+01 
-9.980267e-01 3.454251e-01 3.463675e-01 -1.069980e-04 -1.712184e+00 0 1.298004e+01 -6.399631e-04 1.184102e+01 
-9.955620e-01 4.720096e-01 4.679232e-01 -1.057418e-04 1.402327e+00 0 -6.924628e+00 -6.399631e-04 1.184102e+01 
-9.921147e-01 6.175345e-01 6.218675e-01 -1.076205e-04 -1.303193e+00 0 4.730570e+00 -6.399631e-04 1.184102e+01 
-9.876883e-01 7.896716e-01 7.824988e-01 -1.060519e-04 1.180150e+00 0 -3.302412e+00 -6.399631e-04 1.184102e+01 
-9.822873e-01 9.569985e-01 9.652669e-01 -1.085111e-04 -1.154653e+00 0 2.473389e+00 -6.399631e-04 1.184102e+01 
-9.759168e-01 1.146808e+00 1.135893e+00 -1.067523e-04 1.102158e+00 0 -1.793611e+00 -6.399631e-04 1.184102e+01 
-9.685832e-01 1.315591e+00 1.328119e+00 -1.097873e-04 -1.087520e+00 0 1.320727e+00 -6.399631e-04 1.184102e+01 
-9.602937e-01 1.508737e+00 1.493744e+00 -1.078391e-04 1.076541e+00 0 -9.180654e-01 -6.399631e-04 1.184102e+01 
-9.510565e-01 1.667168e+00 1.684109e+00 -1.115061e-04 -1.051689e+00 0 6.280942e-01 -6.399631e-04 1.184102e+01 
-9.408808e-01 1.854022e+00 1.834875e+00 -1.092778e-04 1.062923e+00 0 -3.809514e-01 -6.399631e-04 1.184102e+01 
-9.297765e-01 1.993579e+00 2.014883e+00 -1.136525e-04 -1.025031e+00 0 2.131131e-01 -6.399631e-04 1.184102e+01 
-9.177546e-01 2.166457e+00 2.143300e+00 -1.109725e-04 1.037569e+00 0 -8.010068e-02 -6.399631e-04 1.184102e+01 
-9.048271e-01 2.280660e+00 2.306016e+00 -1.161156e-04 -9.923866e-01 0 7.503523e-05 -6.399631e-04 1.184102e+01 
