TITLE = "2 species of PNP-Steric with high order term" 
VARIABLES = "X" "Conc1" "Conc2" "phi" "Current_x""I_ext" "I_PNP" "CURRENT" "ENERGY" "
ZONE T="0.0001", I=101
-1 3 3 -2.364857e+07 4.248839e+28 0 -4.123389e+20 1.181881e+25 5136934960791500 
-9.995066e-01 3 3 -2.361489e+07 2.485951e+27 0 -8552190846208192512 1.181881e+25 5136934960791500 
-9.980267e-01 3 3 -2.361612e+07 1.014054e+26 0 1989297937183144448 1.181881e+25 5136934960791500 
-9.955620e-01 3 3 -2.356684e+07 2.238687e+25 0 -1341557088305614336 1.181881e+25 5136934960791500 
-9.921147e-01 3 3 -2.354908e+07 7.468095e+24 0 753619002142706944 1.181881e+25 5136934960791500 
-9.876883e-01 3 3 -2.347821e+07 3.130309e+24 0 -627148242812939392 1.181881e+25 5136934960791500 
-9.822873e-01 3 3 -2.343822e+07 1.525824e+24 0 416370637831411520 1.181881e+25 5136934960791500 
-9.759168e-01 3 3 -2.334590e+07 8.269642e+23 0 -371776982313905792 1.181881e+25 5136934960791500 
-9.685832e-01 3 3 -2.328381e+07 4.848910e+23 0 267524455687349728 1.181881e+25 5136934960791500 
-9.602937e-01 3 3 -2.317028e+07 3.020077e+23 0 -247544166342801632 1.181881e+25 5136934960791500 
-9.510565e-01 3 3 -2.308642e+07 1.973044e+23 0 186800574798949056 1.181881e+25 5136934960791500 
-9.408808e-01 3 3 -2.295204e+07 1.339725e+23 0 -176526162387171872 1.181881e+25 5136934960791500 
-9.297765e-01 3 3 -2.284681e+07 9.390962e+22 0 137422273133551808 1.181881e+25 5136934960791500 
-9.177546e-01 3 3 -2.269202e+07 6.759997e+22 0 -131624577932078224 1.181881e+25 5136934960791500 
-9.048271e-01 3 3 -2.256592e+07 4.976949e+22 0 104713465814576336 1.181881e+25 5136934960791500 
-8.910065e-01 3 3 -2.239125e+07 3.735390e+22 0 -101200801746510800 1.181881e+25 5136934960791500 
-8.763067e-01 3 3 -2.224486e+07 2.850536e+22 0 81780833303062704 1.181881e+25 5136934960791500 
-8.607420e-01 3 3 -2.205092e+07 2.206865e+22 0 -79517885880630592 1.181881e+25 5136934960791500 
-8.443279e-01 3 3 -2.188488e+07 1.730227e+22 0 65003278420206784 1.181881e+25 5136934960791500 
-8.270806e-01 3 3 -2.167238e+07 1.371584e+22 0 -63457214686665176 1.181881e+25 5136934960791500 
-8.090170e-01 3 3 -2.148741e+07 1.097921e+22 0 52315837208271400 1.181881e+25 5136934960791500 
-7.901550e-01 3 3 -2.125712e+07 8.864012e+21 0 -51194341110458664 1.181881e+25 5136934960791500 
-7.705132e-01 3 3 -2.105401e+07 7.210686e+21 0 42464335334025592 1.181881e+25 5136934960791500 
-7.501111e-01 3 3 -2.080678e+07 5.904659e+21 0 -41599034209419448 1.181881e+25 5136934960791500 
-7.289686e-01 3 3 -2.058640e+07 4.863529e+21 0 34647987956293536 1.181881e+25 5136934960791500 
-7.071068e-01 3 3 -2.032313e+07 4.026198e+21 0 -33938194769274936 1.181881e+25 5136934960791500 
-6.845471e-01 3 3 -2.008641e+07 3.347718e+21 0 28334276941468800 1.181881e+25 5136934960791500 
-6.613119e-01 3 3 -1.980810e+07 2.793800e+21 0 -27718030306268056 1.181881e+25 5136934960791500 
-6.374240e-01 3 3 -1.955603e+07 2.338781e+21 0 23156928189816420 1.181881e+25 5136934960791500 
-6.129071e-01 3 3 -1.926370e+07 1.962566e+21 0 -22595280506089704 1.181881e+25 5136934960791500 
-5.877853e-01 3 3 -1.899733e+07 1.649920e+21 0 18856743004296900 1.181881e+25 5136934960791500 
-5.620834e-01 3 3 -1.869210e+07 1.388621e+21 0 -18324857348026292 1.181881e+25 5136934960791500 
-5.358268e-01 3 3 -1.841253e+07 1.169320e+21 0 15245783560846484 1.181881e+25 5136934960791500 
-5.090414e-01 3 3 -1.809554e+07 9.843404e+20 0 -14727701441778488 1.181881e+25 5136934960791500 
-4.817537e-01 3 3 -1.780394e+07 8.277745e+20 0 12184891121099910 1.181881e+25 5136934960791500 
-4.539905e-01 3 3 -1.747638e+07 6.946647e+20 0 -11670361208547110 1.181881e+25 5136934960791500 
-4.257793e-01 3 3 -1.717395e+07 5.811813e+20 0 9569124048553472 1.181881e+25 5136934960791500 
-3.971479e-01 3 3 -1.683707e+07 4.840437e+20 0 -9051628921158958 1.181881e+25 5136934960791500 
-3.681246e-01 3 3 -1.652505e+07 4.007113e+20 0 7318064580130912 1.181881e+25 5136934960791500 
-3.387379e-01 3 3 -1.618013e+07 3.289674e+20 0 -6793565094227540 1.181881e+25 5136934960791500 
-3.090170e-01 3 3 -1.585980e+07 2.670903e+20 0 5369209868246220 1.181881e+25 5136934960791500 
-2.789911e-01 3 3 -1.550815e+07 2.135552e+20 0 -4835330787331280 1.181881e+25 5136934960791500 
-2.486899e-01 3 3 -1.518083e+07 1.671720e+20 0 3673369239628518 1.181881e+25 5136934960791500 
-2.181432e-01 3 3 -1.482378e+07 1.268759e+20 0 -3.128863e+15 1.181881e+25 5136934960791500 
