TITLE = "2 species of PNP-Steric with high order term" 
VARIABLES = "X" "Conc1" "Conc2" "phi" "Current_x""I_ext" "I_PNP" "CURRENT" "ENERGY" "
ZONE T="0.001", I=101
-1 2.212346e-01 2.211397e-01 -9.985916e-05 4.438182e-03 0 3.926095e-02 3.239925e-10 1.176903e+01 
-9.995066e-01 2.519603e-01 2.518727e-01 -9.985989e-05 -3.745216e-04 0 2.345735e-02 3.239925e-10 1.176903e+01 
-9.980267e-01 3.367430e-01 3.366721e-01 -9.985465e-05 1.595017e-03 0 2.496763e-02 3.239925e-10 1.176903e+01 
-9.955620e-01 4.602616e-01 4.602127e-01 -9.985694e-05 4.945675e-06 0 7.358936e-03 3.239925e-10 1.176903e+01 
-9.921147e-01 6.081511e-01 6.081170e-01 -9.984934e-05 1.243417e-03 0 1.548848e-02 3.239925e-10 1.176903e+01 
-9.876883e-01 7.709660e-01 7.709498e-01 -9.985362e-05 -1.613477e-04 0 -4.921307e-03 3.239925e-10 1.176903e+01 
-9.822873e-01 9.417836e-01 9.417696e-01 -9.984597e-05 8.293825e-04 0 1.362780e-02 3.239925e-10 1.176903e+01 
-9.759168e-01 1.116856e+00 1.116856e+00 -9.985234e-05 -3.645461e-04 0 -1.225492e-02 3.239925e-10 1.176903e+01 
-9.685832e-01 1.292366e+00 1.292358e+00 -9.984493e-05 6.912325e-04 0 1.615512e-02 3.239925e-10 1.176903e+01 
-9.602937e-01 1.466524e+00 1.466531e+00 -9.985259e-05 -5.524944e-04 0 -1.776187e-02 3.239925e-10 1.176903e+01 
-9.510565e-01 1.636469e+00 1.636459e+00 -9.984501e-05 6.159409e-04 0 2.034133e-02 3.239925e-10 1.176903e+01 
-9.408808e-01 1.801109e+00 1.801121e+00 -9.985333e-05 -7.149534e-04 0 -2.285417e-02 3.239925e-10 1.176903e+01 
-9.297765e-01 1.957964e+00 1.957948e+00 -9.984548e-05 7.513502e-04 0 2.549033e-02 3.239925e-10 1.176903e+01 
-9.177546e-01 2.106322e+00 2.106343e+00 -9.985448e-05 -6.195487e-04 0 -2.774019e-02 3.239925e-10 1.176903e+01 
-9.048271e-01 2.244040e+00 2.244016e+00 -9.984582e-05 7.867718e-04 0 3.034985e-02 3.239925e-10 1.176903e+01 
-8.910065e-01 2.370797e+00 2.370824e+00 -9.985503e-05 -1.287250e-03 0 -3.418949e-02 3.239925e-10 1.176903e+01 
-8.763067e-01 2.484905e+00 2.484869e+00 -9.984631e-05 1.705759e-03 0 3.866946e-02 3.239925e-10 1.176903e+01 
-8.607420e-01 2.586554e+00 2.586610e+00 -9.985710e-05 -1.613437e-03 0 -4.204583e-02 3.239925e-10 1.176903e+01 
-8.443279e-01 2.674730e+00 2.674649e+00 -9.984355e-05 1.022656e-03 0 4.279440e-02 3.239925e-10 1.176903e+01 
-8.270806e-01 2.750160e+00 2.750268e+00 -9.986234e-05 -2.157028e-04 0 -4.060133e-02 3.239925e-10 1.176903e+01 
-8.090170e-01 2.812703e+00 2.812573e+00 -9.983891e-05 -5.018955e-04 0 3.618472e-02 3.239925e-10 1.176903e+01 
-7.901550e-01 2.863597e+00 2.863744e+00 -9.986754e-05 9.779867e-04 0 -3.068292e-02 3.239925e-10 1.176903e+01 
-7.705132e-01 2.903506e+00 2.903349e+00 -9.983551e-05 -1.198798e-03 0 2.509378e-02 3.239925e-10 1.176903e+01 
-7.501111e-01 2.934083e+00 2.934244e+00 -9.987085e-05 1.229359e-03 0 -2.004380e-02 3.239925e-10 1.176903e+01 
-7.289686e-01 2.956454e+00 2.956292e+00 -9.983387e-05 -1.148387e-03 0 1.581190e-02 3.239925e-10 1.176903e+01 
-7.071068e-01 2.972435e+00 2.972595e+00 -9.987267e-05 1.020808e-03 0 -1.242101e-02 3.239925e-10 1.176903e+01 
-6.845471e-01 2.983160e+00 2.983003e+00 -9.983320e-05 -8.869055e-04 0 9.780692e-03 3.239925e-10 1.176903e+01 
-6.613119e-01 2.990265e+00 2.990418e+00 -9.987381e-05 7.678991e-04 0 -7.743235e-03 3.239925e-10 1.176903e+01 
-6.374240e-01 2.994525e+00 2.994375e+00 -9.983285e-05 -6.705998e-04 0 6.176420e-03 3.239925e-10 1.176903e+01 
-6.129071e-01 2.997177e+00 2.997324e+00 -9.987473e-05 5.948496e-04 0 -4.957797e-03 3.239925e-10 1.176903e+01 
-5.877853e-01 2.998511e+00 2.998368e+00 -9.983256e-05 -5.364439e-04 0 4.003504e-03 3.239925e-10 1.176903e+01 
-5.620834e-01 2.999364e+00 2.999505e+00 -9.987558e-05 4.909420e-04 0 -3.241948e-03 3.239925e-10 1.176903e+01 
-5.358268e-01 2.999639e+00 2.999501e+00 -9.983227e-05 -4.539261e-04 0 2.630620e-03 3.239925e-10 1.176903e+01 
-5.090414e-01 2.999919e+00 3.000055e+00 -9.987635e-05 4.223936e-04 0 -2.131221e-03 3.239925e-10 1.176903e+01 
-4.817537e-01 2.999892e+00 2.999758e+00 -9.983200e-05 -3.939281e-04 0 1.724192e-03 3.239925e-10 1.176903e+01 
-4.539905e-01 3.000032e+00 3.000164e+00 -9.987705e-05 3.673443e-04 0 -1.387665e-03 3.239925e-10 1.176903e+01 
-4.257793e-01 2.999935e+00 2.999805e+00 -9.983176e-05 -3.416731e-04 0 1.112071e-03 3.239925e-10 1.176903e+01 
-3.971479e-01 3.000052e+00 3.000180e+00 -9.987765e-05 3.165617e-04 0 -8.841607e-04 3.239925e-10 1.176903e+01 
