TITLE = "2 species of PNP-Steric with high order term" 
VARIABLES = "X" "Conc1" "Conc2" "phi" "Current_x""I_ext" "I_PNP" "CURRENT" "ENERGY" "
ZONE T="0.001", I=101
-1 3 3 2.587817e+07 -8.262885e+30 0 7.829770e+20 -2.192009e+27 -23516099110577872 
-9.995066e-01 3 3 2.582664e+07 -3.453245e+29 0 1.060345e+19 -2.192009e+27 -23516099110577872 
-9.980267e-01 3 3 2.584104e+07 -3.024524e+28 0 -2449733404374162432 -2.192009e+27 -23516099110577872 
-9.955620e-01 3 3 2.577279e+07 -8.463111e+27 0 1834555364605241856 -2.192009e+27 -23516099110577872 
-9.921147e-01 3 3 2.576654e+07 -3.294682e+27 0 -947912058053805696 -2.192009e+27 -23516099110577872 
-9.876883e-01 3 3 2.567549e+07 -1.548335e+27 0 863044773266243584 -2.192009e+27 -23516099110577872 
-9.822873e-01 3 3 2.564482e+07 -8.264638e+26 0 -533076500550298816 -2.192009e+27 -23516099110577872 
-9.759168e-01 3 3 2.553070e+07 -4.822661e+26 0 513545033325356608 -2.192009e+27 -23516099110577872 
-9.685832e-01 3 3 2.547565e+07 -3.008191e+26 0 -346183179856244288 -2.192009e+27 -23516099110577872 
-9.602937e-01 3 3 2.533863e+07 -1.974641e+26 0 342623451537754304 -2.192009e+27 -23516099110577872 
-9.510565e-01 3 3 2.525954e+07 -1.349894e+26 0 -243362129724434176 -2.192009e+27 -23516099110577872 
-9.408808e-01 3 3 2.509996e+07 -9.535389e+25 0 244562842335462528 -2.192009e+27 -23516099110577872 
-9.297765e-01 3 3 2.499728e+07 -6.920608e+25 0 -179826808431808320 -2.192009e+27 -23516099110577872 
-9.177546e-01 3 3 2.481562e+07 -5.137764e+25 0 182405866644609536 -2.192009e+27 -23516099110577872 
-9.048271e-01 3 3 2.468989e+07 -3.888149e+25 0 -137423027265756768 -2.192009e+27 -23516099110577872 
-8.910065e-01 3 3 2.448671e+07 -2.991108e+25 0 140211830772886112 -2.192009e+27 -23516099110577872 
-8.763067e-01 3 3 2.433856e+07 -2.333841e+25 0 -107520297436475424 -2.192009e+27 -23516099110577872 
-8.607420e-01 3 3 2.411455e+07 -1.843485e+25 0 110097495747258736 -2.192009e+27 -23516099110577872 
-8.443279e-01 3 3 2.394467e+07 -1.471841e+25 0 -85542161706249616 -2.192009e+27 -23516099110577872 
-8.270806e-01 3 3 2.370058e+07 -1.186174e+25 0 87766661827867232 -2.192009e+27 -23516099110577872 
-8.090170e-01 3 3 2.350977e+07 -9.638390e+24 0 -68859198135460752 -2.192009e+27 -23516099110577872 
-7.901550e-01 3 3 2.324646e+07 -7.888339e+24 0 70700934165724392 -2.192009e+27 -23516099110577872 
-7.705132e-01 3 3 2.303557e+07 -6.496881e+24 0 -55864581785990016 -2.192009e+27 -23516099110577872 
-7.501111e-01 3 3 2.275397e+07 -5.380331e+24 0 57337657301389144 -2.192009e+27 -23516099110577872 
-7.289686e-01 3 3 2.252394e+07 -4.476924e+24 0 -45527103649529856 -2.192009e+27 -23516099110577872 
-7.071068e-01 3 3 2.222506e+07 -3.740397e+24 0 46661895604764008 -2.192009e+27 -23516099110577872 
-6.845471e-01 3 3 2.197690e+07 -3.135770e+24 0 -37158035833168208 -2.192009e+27 -23516099110577872 
-6.613119e-01 3 3 2.166181e+07 -2.636256e+24 0 37989255751291176 -2.192009e+27 -23516099110577872 
-6.374240e-01 3 3 2.139660e+07 -2.221182e+24 0 -30281892235404400 -2.192009e+27 -23516099110577872 
-6.129071e-01 3 3 2.106645e+07 -1.874420e+24 0 30843529110964916 -2.192009e+27 -23516099110577872 
-5.877853e-01 3 3 2.078534e+07 -1.583302e+24 0 -24561096662457216 -2.192009e+27 -23516099110577872 
-5.620834e-01 3 3 2.044133e+07 -1.337787e+24 0 24884424922614668 -2.192009e+27 -23516099110577872 
-5.358268e-01 3 3 2.014552e+07 -1.129864e+24 0 -19750184621693312 -2.192009e+27 -23516099110577872 
-5.090414e-01 3 3 1.978892e+07 -9.530965e+23 0 19863153231535512 -2.192009e+27 -23516099110577872 
-4.817537e-01 3 3 1.947967e+07 -8.022822e+23 0 -15666943773661916 -2.192009e+27 -23516099110577872 
-4.539905e-01 3 3 1.911180e+07 -6.731874e+23 0 15594177771267250 -2.192009e+27 -23516099110577872 
-4.257793e-01 3 3 1.879042e+07 -5.623519e+23 0 -12173657171645772 -2.192009e+27 -23516099110577872 
-3.971479e-01 3 3 1.841263e+07 -4.669287e+23 0 11936713586466816 -2.192009e+27 -23516099110577872 
-3.681246e-01 3 3 1.808047e+07 -3.845672e+23 0 -9164579775199268 -2.192009e+27 -23516099110577872 
-3.387379e-01 3 3 1.769417e+07 -3.133146e+23 0 8782290423010466 -2.192009e+27 -23516099110577872 
-3.090170e-01 3 3 1.735265e+07 -2.515440e+23 0 -6557376458019198 -2.192009e+27 -23516099110577872 
-2.789911e-01 3 3 1.695927e+07 -1.978922e+23 0 6046200710634118 -2.192009e+27 -23516099110577872 
-2.486899e-01 3 3 1.660981e+07 -1.512142e+23 0 -4287144389509135 -2.192009e+27 -23516099110577872 
-2.181432e-01 3 3 1.621082e+07 -1.105432e+23 0 3661498650288362 -2.192009e+27 -23516099110577872 
-1.873813e-01 3 3 1.585489e+07 -7.506114e+22 0 -2302161098146358 -2.192009e+27 -23516099110577872 
-1.564345e-01 3 3 1.545179e+07 -4.407284e+22 0 1.574713e+15 -2.192009e+27 -23516099110577872 
-1.253332e-01 3 3 1.509086e+07 -1.698597e+22 0 -5.608091e+14 -2.192009e+27 -23516099110577872 
-9.410831e-02 3 3 1.468515e+07 6.705985e+21 0 -2.572675e+14 -2.192009e+27 -23516099110577872 
-6.279052e-02 3 3 1.432075e+07 2.743706e+22 0 9.706816e+14 -2.192009e+27 -23516099110577872 
-3.141076e-02 3 3 1.391395e+07 4.558046e+22 0 -1.869484e+15 -2.192009e+27 -23516099110577872 
-1.110223e-16 3 3 1.354758e+07 6.145775e+22 0 2.319912e+15 -2.192009e+27 -23516099110577872 
3.141076e-02 3 3 1.314122e+07 7.534676e+22 0 -3290622331982275 -2.192009e+27 -23516099110577872 
6.279052e-02 3 3 1.277442e+07 8.748802e+22 0 3.509584e+15 -2.192009e+27 -23516099110577872 
9.410831e-02 3 3 1.237002e+07 9.809028e+22 0 -4544308152636098 -2.192009e+27 -23516099110577872 
1.253332e-01 3 3 1.200430e+07 1.073350e+23 0 4558457649351642 -2.192009e+27 -23516099110577872 
1.564345e-01 3 3 1.160338e+07 1.153803e+23 0 -5650084628776774 -2.192009e+27 -23516099110577872 
1.873813e-01 3 3 1.124028e+07 1.223642e+23 0 5482090029245206 -2.192009e+27 -23516099110577872 
2.181432e-01 3 3 1.084434e+07 1.284073e+23 0 -6624175752606072 -2.192009e+27 -23516099110577872 
2.486899e-01 3 3 1.048536e+07 1.336151e+23 0 6293408216205652 -2.192009e+27 -23516099110577872 
