TITLE = "2 species of PNP-Steric with high order term" 
VARIABLES = "X" "Conc1" "Conc2" "phi" "Current_x""I_ext" "I_PNP" "CURRENT" "ENERGY" "
ZONE T="4.2609e-08", I=101
-1 4.089038e+01 4.089201e+01 -1.000000e-04 4.835046e-11 0 -1.640513e-11 -1.160444e-14 1.318335e+01 
-9.995066e-01 9.684130e+00 9.684418e+00 -1.000000e-04 3.761482e-12 0 6.988004e-13 -1.160444e-14 1.318335e+01 
-9.980267e-01 5.452903e-01 5.451847e-01 -1.000000e-04 -8.989307e-12 0 -4.781159e-12 -1.160444e-14 1.318335e+01 
-9.955620e-01 4.340366e+00 4.340424e+00 -1.000000e-04 1.494036e-12 0 2.838661e-13 -1.160444e-14 1.318335e+01 
-9.921147e-01 2.134792e+00 2.134755e+00 -1.000000e-04 1.112305e-12 0 3.352307e-12 -1.160444e-14 1.318335e+01 
-9.876883e-01 3.612887e+00 3.612913e+00 -1.000000e-04 3.243851e-12 0 -1.448632e-12 -1.160444e-14 1.318335e+01 
-9.822873e-01 2.539362e+00 2.539342e+00 -1.000000e-04 -3.246256e-12 0 -2.133563e-13 -1.160444e-14 1.318335e+01 
-9.759168e-01 3.360714e+00 3.360729e+00 -1.000000e-04 -1.887816e-12 0 -1.079793e-12 -1.160444e-14 1.318335e+01 
-9.685832e-01 2.708903e+00 2.708890e+00 -1.000000e-04 4.214351e-12 0 7.416035e-13 -1.160444e-14 1.318335e+01 
-9.602937e-01 3.240383e+00 3.240393e+00 -1.000000e-04 -1.579941e-12 0 -2.768108e-13 -1.160444e-14 1.318335e+01 
-9.510565e-01 2.797866e+00 2.797857e+00 -1.000000e-04 -9.101245e-13 0 -5.288284e-15 -1.160444e-14 1.318335e+01 
-9.408808e-01 3.172476e+00 3.172483e+00 -1.000000e-04 1.014170e-12 0 4.484828e-13 -1.160444e-14 1.318335e+01 
-9.297765e-01 2.851050e+00 2.851043e+00 -1.000000e-04 1.338881e-12 0 -1.315931e-13 -1.160444e-14 1.318335e+01 
-9.177546e-01 3.129932e+00 3.129937e+00 -1.000000e-04 -3.981583e-12 0 -9.712608e-13 -1.160444e-14 1.318335e+01 
-9.048271e-01 2.885693e+00 2.885688e+00 -1.000000e-04 3.063994e-12 0 7.460942e-13 -1.160444e-14 1.318335e+01 
-8.910065e-01 3.101293e+00 3.101297e+00 -1.000000e-04 -9.318593e-13 0 -3.553298e-13 -1.160444e-14 1.318335e+01 
-8.763067e-01 2.909680e+00 2.909676e+00 -1.000000e-04 -1.020800e-12 0 2.635316e-13 -1.160444e-14 1.318335e+01 
-8.607420e-01 3.080970e+00 3.080974e+00 -1.000000e-04 1.166171e-12 0 -3.568259e-13 -1.160444e-14 1.318335e+01 
-8.443279e-01 2.927072e+00 2.927069e+00 -1.000000e-04 -8.534526e-13 0 1.672552e-13 -1.160444e-14 1.318335e+01 
-8.270806e-01 3.065952e+00 3.065955e+00 -1.000000e-04 1.202590e-12 0 1.561641e-14 -1.160444e-14 1.318335e+01 
-8.090170e-01 2.940146e+00 2.940144e+00 -1.000000e-04 -1.537602e-12 0 -8.166539e-14 -1.160444e-14 1.318335e+01 
