TITLE = "2 species of PNP-Steric with high order term" 
VARIABLES = "X" "Conc1" "Conc2" "phi" "Current_x""I_ext" "I_PNP" "CURRENT" "ENERGY" "
ZONE T="0.001", I=101
-1 1.267569e-01 2.626160e-01 3.919061e-04 1.018390e+02 0 -9.081819e+02 -1.260845e+00 1.331555e+01 
-9.995066e-01 2.636188e-01 2.400384e-01 4.266271e-04 -3.665594e+01 0 -3.794711e+02 -1.260845e+00 1.331555e+01 
-9.980267e-01 3.510370e-01 3.321580e-01 3.543802e-04 2.011503e+01 0 8.268134e+01 -1.260845e+00 1.331555e+01 
-9.955620e-01 4.780377e-01 4.654114e-01 4.712699e-04 -2.319053e+01 0 7.782384e+00 -1.260845e+00 1.331555e+01 
-9.921147e-01 6.351304e-01 6.090592e-01 3.641386e-04 1.520603e+01 0 -6.595299e+01 -1.260845e+00 1.331555e+01 
-9.876883e-01 7.884982e-01 7.949747e-01 5.223159e-04 -1.582708e+01 0 1.257804e+02 -1.260845e+00 1.331555e+01 
-9.822873e-01 9.781709e-01 9.490034e-01 3.977160e-04 1.676689e+01 0 -1.718655e+02 -1.260845e+00 1.331555e+01 
-9.759168e-01 1.117139e+00 1.172902e+00 5.840812e-04 -7.726499e+00 0 2.386455e+02 -1.260845e+00 1.331555e+01 
-9.685832e-01 1.330516e+00 1.309868e+00 4.546846e-04 1.712128e+01 0 -2.842545e+02 -1.260845e+00 1.331555e+01 
-9.602937e-01 1.451570e+00 1.548507e+00 6.667286e-04 -1.420536e+01 0 3.330358e+02 -1.260845e+00 1.331555e+01 
-9.510565e-01 1.771838e+00 1.566479e+00 5.458720e-04 -1.072199e+01 0 -4.401286e+02 -1.260845e+00 1.331555e+01 
-9.408808e-01 1.891747e+00 1.783552e+00 7.503342e-04 -2.929404e+01 0 4.581326e+02 -1.260845e+00 1.331555e+01 
-9.297765e-01 2.048374e+00 1.934547e+00 5.684410e-04 4.240620e+01 0 -3.875035e+02 -1.260845e+00 1.331555e+01 
-9.177546e-01 1.662395e+00 2.646860e+00 7.578448e-04 2.214393e+01 0 5.241852e+02 -1.260845e+00 1.331555e+01 
-9.048271e-01 3.149052e+00 1.457974e+00 7.684309e-04 -9.289311e+01 0 -9.970689e+02 -1.260845e+00 1.331555e+01 
-8.910065e-01 1.835893e+00 2.986735e+00 7.277372e-04 7.944794e+01 0 1.529897e+03 -1.260845e+00 1.331555e+01 
-8.763067e-01 2.413691e+00 2.606288e+00 6.820608e-04 -2.539485e+00 0 -1.779422e+03 -1.260845e+00 1.331555e+01 
-8.607420e-01 3.444694e+00 1.816145e+00 9.457626e-04 -5.303644e+01 0 1.787562e+03 -1.260845e+00 1.331555e+01 
-8.443279e-01 1.457689e+00 4.006027e+00 5.002459e-04 6.213947e+01 0 -1.627279e+03 -1.260845e+00 1.331555e+01 
-8.270806e-01 4.364876e+00 1.267906e+00 1.038851e-03 -5.981554e+01 0 1.393173e+03 -1.260845e+00 1.331555e+01 
-8.090170e-01 1.179046e+00 4.558093e+00 3.893794e-04 5.276986e+01 0 -1.175599e+03 -1.260845e+00 1.331555e+01 
-7.901550e-01 4.683235e+00 1.136437e+00 1.061808e-03 -4.898322e+01 0 9.787820e+02 -1.260845e+00 1.331555e+01 
-7.705132e-01 1.114863e+00 4.747000e+00 2.905301e-04 4.348792e+01 0 -8.254646e+02 -1.260845e+00 1.331555e+01 
-7.501111e-01 4.791810e+00 1.109086e+00 1.058830e-03 -4.178352e+01 0 6.908046e+02 -1.260845e+00 1.331555e+01 
-7.289686e-01 1.103066e+00 4.812359e+00 1.920697e-04 3.817311e+01 0 -5.887488e+02 -1.260845e+00 1.331555e+01 
