TITLE = "2 species of PNP-Steric with high order term" 
VARIABLES = "X" "Conc1" "Conc2" "phi" "Current_x""I_ext" "I_PNP" "CURRENT" "ENERGY" "
ZONE T="4.2609e-10", I=101
-1 2.621096e+00 2.621080e+00 -1.000000e-04 1.831998e-11 0 -1.640513e-11 -1.099084e-14 1.318335e+01 
-9.995066e-01 2.933192e+00 2.933189e+00 -1.000000e-04 1.093631e-11 0 6.988004e-13 -1.099084e-14 1.318335e+01 
-9.980267e-01 3.024499e+00 3.024500e+00 -1.000000e-04 -2.408087e-11 0 -4.781159e-12 -1.099084e-14 1.318335e+01 
-9.955620e-01 2.986656e+00 2.986655e+00 -1.000000e-04 7.344253e-12 0 2.838661e-13 -1.099084e-14 1.318335e+01 
-9.921147e-01 3.008584e+00 3.008584e+00 -1.000000e-04 4.025368e-12 0 3.352307e-12 -1.099084e-14 1.318335e+01 
-9.876883e-01 2.993947e+00 2.993946e+00 -1.000000e-04 -1.033274e-12 0 -1.448632e-12 -1.099084e-14 1.318335e+01 
-9.822873e-01 3.004525e+00 3.004525e+00 -1.000000e-04 -1.846666e-12 0 -2.133563e-13 -1.099084e-14 1.318335e+01 
-9.759168e-01 2.996480e+00 2.996480e+00 -1.000000e-04 -3.679800e-12 0 -1.079793e-12 -1.099084e-14 1.318335e+01 
-9.685832e-01 3.002820e+00 3.002820e+00 -1.000000e-04 6.401585e-12 0 7.416035e-13 -1.099084e-14 1.318335e+01 
-9.602937e-01 2.997692e+00 2.997692e+00 -1.000000e-04 -2.617369e-12 0 -2.768108e-13 -1.099084e-14 1.318335e+01 
-9.510565e-01 3.001922e+00 3.001922e+00 -1.000000e-04 1.941547e-12 0 -5.288284e-15 -1.099084e-14 1.318335e+01 
-9.408808e-01 2.998377e+00 2.998377e+00 -1.000000e-04 -2.643156e-12 0 4.484828e-13 -1.099084e-14 1.318335e+01 
-9.297765e-01 3.001385e+00 3.001385e+00 -1.000000e-04 3.516888e-13 0 -1.315931e-13 -1.099084e-14 1.318335e+01 
-9.177546e-01 2.998808e+00 2.998807e+00 -1.000000e-04 -1.279124e-12 0 -9.712608e-13 -1.099084e-14 1.318335e+01 
-9.048271e-01 3.001034e+00 3.001034e+00 -1.000000e-04 1.271125e-12 0 7.460942e-13 -1.099084e-14 1.318335e+01 
-8.910065e-01 2.999097e+00 2.999097e+00 -1.000000e-04 -1.958673e-12 0 -3.553298e-13 -1.099084e-14 1.318335e+01 
-8.763067e-01 3.000791e+00 3.000792e+00 -1.000000e-04 2.865314e-12 0 2.635316e-13 -1.099084e-14 1.318335e+01 
-8.607420e-01 2.999303e+00 2.999303e+00 -1.000000e-04 -1.588824e-12 0 -3.568259e-13 -1.099084e-14 1.318335e+01 
-8.443279e-01 3.000616e+00 3.000616e+00 -1.000000e-04 -1.301222e-13 0 1.672552e-13 -1.099084e-14 1.318335e+01 
-8.270806e-01 2.999455e+00 2.999455e+00 -1.000000e-04 6.312195e-13 0 1.561641e-14 -1.099084e-14 1.318335e+01 
-8.090170e-01 3.000484e+00 3.000484e+00 -1.000000e-04 -1.919781e-13 0 -8.166539e-14 -1.099084e-14 1.318335e+01 
-7.901550e-01 2.999569e+00 2.999569e+00 -1.000000e-04 9.296511e-13 0 1.292265e-12 -1.099084e-14 1.318335e+01 
-7.705132e-01 3.000383e+00 3.000383e+00 -1.000000e-04 -1.437861e-12 0 -1.069701e-12 -1.099084e-14 1.318335e+01 
