TITLE = "2 species of PNP-Steric with high order term" 
VARIABLES = "X" "Conc1" "Conc2" "phi" "Current_x""I_ext" "I_PNP" "CURRENT" "ENERGY" "
ZONE T="0.001", I=31
-1 3.643769e-01 3.642349e-01 -9.900347e-05 7.734712e-04 0 7.734712e-04 4.093177e-11 1.245313e+01 
-9.945219e-01 6.290755e-01 6.289482e-01 -9.896755e-05 6.292538e-03 0 6.292538e-03 4.093177e-11 1.245313e+01 
-9.781476e-01 1.308560e+00 1.308449e+00 -9.882942e-05 3.623450e-03 0 3.623450e-03 4.093177e-11 1.245313e+01 
-9.510565e-01 2.393770e+00 2.393793e+00 -9.879298e-05 3.869443e-03 0 3.869443e-03 4.093177e-11 1.245313e+01 
-9.135455e-01 2.725625e+00 2.725547e+00 -9.866250e-05 -7.966582e-04 0 -7.966582e-04 4.093177e-11 1.245313e+01 
-8.660254e-01 3.129204e+00 3.129273e+00 -9.876618e-05 1.562945e-03 0 1.562945e-03 4.093177e-11 1.245313e+01 
-8.090170e-01 2.865622e+00 2.865555e+00 -9.861188e-05 -1.262132e-03 0 -1.262132e-03 4.093177e-11 1.245313e+01 
-7.431448e-01 3.128628e+00 3.128691e+00 -9.876538e-05 1.330776e-03 0 1.330776e-03 4.093177e-11 1.245313e+01 
-6.691306e-01 2.876206e+00 2.876146e+00 -9.857763e-05 -1.017853e-03 0 -1.017853e-03 4.093177e-11 1.245313e+01 
-5.877853e-01 3.118336e+00 3.118392e+00 -9.876345e-05 9.888435e-04 0 9.888435e-04 4.093177e-11 1.245313e+01 
-5.000000e-01 2.885867e+00 2.885813e+00 -9.855558e-05 -7.079677e-04 0 -7.079677e-04 4.093177e-11 1.245313e+01 
-4.067366e-01 3.110289e+00 3.110341e+00 -9.876133e-05 6.318542e-04 0 6.318542e-04 4.093177e-11 1.245313e+01 
-3.090170e-01 2.892377e+00 2.892327e+00 -9.854264e-05 -4.097385e-04 0 -4.097385e-04 4.093177e-11 1.245313e+01 
-2.079117e-01 3.105521e+00 3.105571e+00 -9.875982e-05 3.049212e-04 0 3.049212e-04 4.093177e-11 1.245313e+01 
-1.045285e-01 2.895549e+00 2.895500e+00 -9.853668e-05 -1.335741e-04 0 -1.335741e-04 4.093177e-11 1.245313e+01 
-3.330669e-16 3.103965e+00 3.104013e+00 -9.875929e-05 1.244807e-10 0 1.244807e-10 4.093177e-11 1.245313e+01 
1.045285e-01 2.895549e+00 2.895500e+00 -9.853668e-05 1.335738e-04 0 1.335738e-04 4.093177e-11 1.245313e+01 
2.079117e-01 3.105521e+00 3.105571e+00 -9.875982e-05 -3.049209e-04 0 -3.049209e-04 4.093177e-11 1.245313e+01 
3.090170e-01 2.892377e+00 2.892327e+00 -9.854264e-05 4.097382e-04 0 4.097382e-04 4.093177e-11 1.245313e+01 
4.067366e-01 3.110289e+00 3.110341e+00 -9.876133e-05 -6.318538e-04 0 -6.318538e-04 4.093177e-11 1.245313e+01 
5.000000e-01 2.885867e+00 2.885813e+00 -9.855558e-05 7.079673e-04 0 7.079673e-04 4.093177e-11 1.245313e+01 
5.877853e-01 3.118336e+00 3.118392e+00 -9.876345e-05 -9.888431e-04 0 -9.888431e-04 4.093177e-11 1.245313e+01 
6.691306e-01 2.876206e+00 2.876146e+00 -9.857763e-05 1.017852e-03 0 1.017852e-03 4.093177e-11 1.245313e+01 
7.431448e-01 3.128628e+00 3.128691e+00 -9.876538e-05 -1.330775e-03 0 -1.330775e-03 4.093177e-11 1.245313e+01 
8.090170e-01 2.865622e+00 2.865555e+00 -9.861188e-05 1.262132e-03 0 1.262132e-03 4.093177e-11 1.245313e+01 
