TITLE = "2 species of PNP-Steric with high order term" 
VARIABLES = "X" "Conc1" "Conc2" "phi" "Current_x""I_ext" "I_PNP" "CURRENT" "ENERGY" "
ZONE T="6.8142e-07", I=51
-1 -5.716743e+00 -5.718404e+00 -1.000000e-04 -2.036554e-12 0 -2.036554e-12 -6.485608e-15 1.318335e+01 
-9.980267e-01 1.505794e+00 1.505510e+00 -1.000000e-04 -5.694561e-13 0 -5.694561e-13 -6.485608e-15 1.318335e+01 
-9.921147e-01 3.536837e+00 3.536939e+00 -1.000000e-04 2.387419e-13 0 2.387419e-13 -6.485608e-15 1.318335e+01 
-9.822873e-01 2.714427e+00 2.714372e+00 -1.000000e-04 -1.185323e-13 0 -1.185323e-13 -6.485608e-15 1.318335e+01 
-9.685832e-01 3.178782e+00 3.178816e+00 -1.000000e-04 8.249510e-14 0 8.249510e-14 -6.485608e-15 1.318335e+01 
-9.510565e-01 2.877758e+00 2.877734e+00 -1.000000e-04 -6.926607e-14 0 -6.926607e-14 -6.485608e-15 1.318335e+01 
-9.297765e-01 3.088230e+00 3.088246e+00 -1.000000e-04 6.653157e-14 0 6.653157e-14 -6.485608e-15 1.318335e+01 
-9.048271e-01 2.934019e+00 2.934007e+00 -1.000000e-04 -7.217536e-14 0 -7.217536e-14 -6.485608e-15 1.318335e+01 
-8.763067e-01 3.050542e+00 3.050551e+00 -1.000000e-04 9.094420e-14 0 9.094420e-14 -6.485608e-15 1.318335e+01 
-8.443279e-01 2.960649e+00 2.960642e+00 -1.000000e-04 -1.536433e-13 0 -1.536433e-13 -6.485608e-15 1.318335e+01 
-8.090170e-01 3.030964e+00 3.030970e+00 -1.000000e-04 2.761949e-14 0 2.761949e-14 -6.485608e-15 1.318335e+01 
-7.705132e-01 2.975485e+00 2.975480e+00 -1.000000e-04 5.282951e-14 0 5.282951e-14 -6.485608e-15 1.318335e+01 
-7.289686e-01 3.019454e+00 3.019458e+00 -1.000000e-04 -1.370945e-13 0 -1.370945e-13 -6.485608e-15 1.318335e+01 
