TITLE = "2 species of PNP-Steric with high order term" 
VARIABLES = "X" "Conc1" "Conc2" "phi" "Current_x""I_ext" "I_PNP" "CURRENT" "ENERGY" "
ZONE T="0.001", I=101
-1 3.745107e-02 3.745107e-02 1.142355e+00 -3.821818e+02 0 -3.821818e+02 6.385410e-10 7.092278e+01 
-9.995066e-01 8.506495e-02 8.506495e-02 1.148004e+00 -3.594924e+02 0 -3.594924e+02 6.385410e-10 7.092278e+01 
-9.980267e-01 1.915820e-01 1.915820e-01 1.164882e+00 -3.686917e+02 0 -3.686917e+02 6.385410e-10 7.092278e+01 
-9.955620e-01 4.710394e-01 4.710394e-01 1.193071e+00 -3.604872e+02 0 -3.604872e+02 6.385410e-10 7.092278e+01 
-9.921147e-01 6.118507e-01 6.118507e-01 1.232386e+00 -3.651120e+02 0 -3.651120e+02 6.385410e-10 7.092278e+01 
-9.876883e-01 1.142014e+00 1.142014e+00 1.282919e+00 -3.550152e+02 0 -3.550152e+02 6.385410e-10 7.092278e+01 
-9.822873e-01 1.184342e+00 1.184342e+00 1.344358e+00 -3.542535e+02 0 -3.542535e+02 6.385410e-10 7.092278e+01 
-9.759168e-01 1.914677e+00 1.914677e+00 1.416742e+00 -3.391252e+02 0 -3.391252e+02 6.385410e-10 7.092278e+01 
-9.685832e-01 1.754778e+00 1.754778e+00 1.499590e+00 -3.317103e+02 0 -3.317103e+02 6.385410e-10 7.092278e+01 
-9.602937e-01 2.588445e+00 2.588445e+00 1.592864e+00 -3.122505e+02 0 -3.122505e+02 6.385410e-10 7.092278e+01 
-9.510565e-01 2.188033e+00 2.188033e+00 1.695893e+00 -3.004883e+02 0 -3.004883e+02 6.385410e-10 7.092278e+01 
-9.408808e-01 3.030296e+00 3.030296e+00 1.808579e+00 -2.814854e+02 0 -2.814854e+02 6.385410e-10 7.092278e+01 
-9.297765e-01 2.430298e+00 2.430298e+00 1.930082e+00 -2.707986e+02 0 -2.707986e+02 6.385410e-10 7.092278e+01 
-9.177546e-01 3.236226e+00 3.236226e+00 2.060288e+00 -2.567770e+02 0 -2.567770e+02 6.385410e-10 7.092278e+01 
-9.048271e-01 2.522615e+00 2.522615e+00 2.198227e+00 -2.506235e+02 0 -2.506235e+02 6.385410e-10 7.092278e+01 
-8.910065e-01 3.299908e+00 3.299908e+00 2.343796e+00 -2.413850e+02 0 -2.413850e+02 6.385410e-10 7.092278e+01 
-8.763067e-01 2.542951e+00 2.542951e+00 2.495919e+00 -2.385243e+02 0 -2.385243e+02 6.385410e-10 7.092278e+01 
-8.607420e-01 3.313927e+00 3.313927e+00 2.654511e+00 -2.311644e+02 0 -2.311644e+02 6.385410e-10 7.092278e+01 
-8.443279e-01 2.542633e+00 2.542633e+00 2.818392e+00 -2.290342e+02 0 -2.290342e+02 6.385410e-10 7.092278e+01 
-8.270806e-01 3.319077e+00 3.319077e+00 2.987498e+00 -2.218037e+02 0 -2.218037e+02 6.385410e-10 7.092278e+01 
-8.090170e-01 2.538536e+00 2.538536e+00 3.160546e+00 -2.192912e+02 0 -2.192912e+02 6.385410e-10 7.092278e+01 
-7.901550e-01 3.323976e+00 3.323976e+00 3.337500e+00 -2.118123e+02 0 -2.118123e+02 6.385410e-10 7.092278e+01 
-7.705132e-01 2.533586e+00 2.533586e+00 3.516983e+00 -2.087332e+02 0 -2.087332e+02 6.385410e-10 7.092278e+01 
