TITLE = "2 species of PNP-Steric with high order term" 
VARIABLES = "X" "Conc1" "Conc2" "phi" "Current_x""I_ext" "I_PNP" "CURRENT" "ENERGY" "
ZONE T="0.001", I=101
-1 6.685204e-01 6.685204e-01 1.081270e+00 -5.981379e+02 0 -5.783345e+01 -5.164434e-07 6.710236e+01 
-9.995066e-01 6.686356e-01 6.686356e-01 1.086606e+00 -5.977896e+02 0 -5.969788e+01 -5.164434e-07 6.710236e+01 
-9.980267e-01 6.703248e-01 6.703248e-01 1.102603e+00 -5.967298e+02 0 -6.517387e+01 -5.164434e-07 6.710236e+01 
-9.955620e-01 6.773326e-01 6.773326e-01 1.129235e+00 -5.949452e+02 0 -7.391284e+01 -5.164434e-07 6.710236e+01 
-9.921147e-01 6.950005e-01 6.950005e-01 1.166456e+00 -5.924032e+02 0 -8.535228e+01 -5.164434e-07 6.710236e+01 
-9.876883e-01 7.291013e-01 7.291013e-01 1.214199e+00 -5.890252e+02 0 -9.876390e+01 -5.164434e-07 6.710236e+01 
-9.822873e-01 7.845770e-01 7.845770e-01 1.272378e+00 -5.846983e+02 0 -1.133408e+02 -5.164434e-07 6.710236e+01 
-9.759168e-01 8.644866e-01 8.644866e-01 1.340880e+00 -5.792565e+02 0 -1.283060e+02 -5.164434e-07 6.710236e+01 
-9.685832e-01 9.694194e-01 9.694194e-01 1.419564e+00 -5.724684e+02 0 -1.430043e+02 -5.164434e-07 6.710236e+01 
-9.602937e-01 1.097463e+00 1.097463e+00 1.508252e+00 -5.640527e+02 0 -1.569461e+02 -5.164434e-07 6.710236e+01 
-9.510565e-01 1.244637e+00 1.244637e+00 1.606721e+00 -5.537164e+02 0 -1.698019e+02 -5.164434e-07 6.710236e+01 
-9.408808e-01 1.405596e+00 1.405596e+00 1.714702e+00 -5.411935e+02 0 -1.813675e+02 -5.164434e-07 6.710236e+01 
-9.297765e-01 1.574395e+00 1.574395e+00 1.831870e+00 -5.262793e+02 0 -1.915242e+02 -5.164434e-07 6.710236e+01 
-9.177546e-01 1.745165e+00 1.745165e+00 1.957843e+00 -5.088608e+02 0 -2.002058e+02 -5.164434e-07 6.710236e+01 
-9.048271e-01 1.912617e+00 1.912617e+00 2.092179e+00 -4.889410e+02 0 -2.073780e+02 -5.164434e-07 6.710236e+01 
-8.910065e-01 2.072350e+00 2.072350e+00 2.234378e+00 -4.666542e+02 0 -2.130278e+02 -5.164434e-07 6.710236e+01 
-8.763067e-01 2.220979e+00 2.220979e+00 2.383885e+00 -4.422687e+02 0 -2.171599e+02 -5.164434e-07 6.710236e+01 
-8.607420e-01 2.356133e+00 2.356133e+00 2.540095e+00 -4.161798e+02 0 -2.197971e+02 -5.164434e-07 6.710236e+01 
-8.443279e-01 2.476358e+00 2.476358e+00 2.702356e+00 -3.888930e+02 0 -2.209822e+02 -5.164434e-07 6.710236e+01 
-8.270806e-01 2.580989e+00 2.580989e+00 2.869979e+00 -3.609978e+02 0 -2.207800e+02 -5.164434e-07 6.710236e+01 
-8.090170e-01 2.670002e+00 2.670002e+00 3.042243e+00 -3.331345e+02 0 -2.192784e+02 -5.164434e-07 6.710236e+01 
-7.901550e-01 2.743884e+00 2.743884e+00 3.218401e+00 -3.059552e+02 0 -2.165873e+02 -5.164434e-07 6.710236e+01 
-7.705132e-01 2.803519e+00 2.803519e+00 3.397693e+00 -2.800811e+02 0 -2.128362e+02 -5.164434e-07 6.710236e+01 
-7.501111e-01 2.850097e+00 2.850097e+00 3.579346e+00 -2.560589e+02 0 -2.081699e+02 -5.164434e-07 6.710236e+01 
-7.289686e-01 2.885040e+00 2.885040e+00 3.762584e+00 -2.343195e+02 0 -2.027414e+02 -5.164434e-07 6.710236e+01 
-7.071068e-01 2.909927e+00 2.909927e+00 3.946633e+00 -2.151451e+02 0 -1.967049e+02 -5.164434e-07 6.710236e+01 
-6.845471e-01 2.926430e+00 2.926430e+00 4.130726e+00 -1.986458e+02 0 -1.902067e+02 -5.164434e-07 6.710236e+01 
